BrefID	SortDate	BibLvlCode	StandardTitle	AbstractEnglish	Refstringauthors	WoScode
234079	2014	AMS	Big brother is watching you! An acoustic receiver network to track the whereabouts of fishes	\N	"Reubens, J.; Mouton, A.M.; Deneudt, K.; Hernandez, F.; Cattrijsse, A."	\N
238933	2014	AS	First glimpse into Lower Jurassic deep-sea biodiversity: <i>in situ</i> diversification and resilience against extinction	"Owing to the assumed lack of deep-sea macrofossils older than the Late Cretaceous, very little is known about the geological history of deep-sea communities, and most inference-based hypotheses argue for repeated recolonizations of the deep sea from shelf habitats following major palaeoceanographic perturbations. We present a fossil deep-sea assemblage of echinoderms, gastropods, brachiopods and ostracods, from the Early Jurassic of the Glasenbach Gorge, Austria, which includes the oldest known representatives of a number of extant deep-sea groups, and thus implies that in situ diversification, in contrast to immigration from shelf habitats, played a much greater role in shaping modern deep-sea biodiversity than previously thought. A comparison with coeval shelf assemblages reveals that, at least in some of the analysed groups, significantly more extant families/superfamilies have endured in the deep sea since the Early Jurassic than in the shelf seas, which suggests that deep-sea biota are more resilient against extinction than shallow-water ones. In addition, a number of extant deep-sea families/superfamilies found in the Glasenbach assemblage lack post-Jurassic shelf occurrences, implying that if there was a complete extinction of the deep-sea fauna followed by replacement from the shelf, it must have happened before the Late Jurassic. "	"Thuy, B.; Kiel, S.; Dulai, A.; Gale, A.S.; Kroh, A.; Lord, A.R.; Numberger-Thuy, L.D.; Stöhr, S.; Wisshak, M."	WOS:000336784500002
241377	2014	AS	Check-list of Cnidaria and Ctenophora from the coasts of Turkey	"This paper presents the actual status of species diversity of the phyla Cnidaria and Ctenophora along the Turkish coasts of the Black Sea, the Sea of Marmara, the Aegean Sea, and the Levantine Sea. A total of 195 cnidarian species belonging to 5 classes (Hydrozoa, Cubozoa, Scyphozoa, Staurozoa, and Anthozoa) have been determined in these regions. Eight anthozoan species (Arachnanthus oligopodus, Bunodactis rubripunctata, Bunodeopsis strumosa, Corynactis viridis, Halcampoides purpureus, Sagartiogeton lacerates, Sagartiogeton undatus, and Pachycerianthus multiplicatus) are reported for the first time as elements of the Turkish marine fauna in the present study. The highest number of cnidarian species (121 species) was reported from the Aegean Sea, while the lowest (17 species) was reported from the Black Sea. The hot spot areas for cnidarian diversity are the Prince Islands, Istanbul Strait, Izmir Bay, and Datça Peninsula, where relatively intensive scientific efforts have been carried out. Regarding ctenophores, 7 species are distributed along the Turkish coasts, 5 of which were reported from the Black Sea. A total of 16 alien cnidarian and 2 ctenophore species were determined in the regions. Two species (Sagartiogeton laceratus and Pachycerianthus multiplicatus) are new alien species for the Mediterranean Sea and could have been introduced to the northern part of the Sea of Marmara and Iskenderun Bay, areas from which these species are recorded, by ships from the North-East Atlantic. "	"Çinar, M.E.; Yokes, M.B.; Açik, S.; Bakir, A.K."	WOS:000344879100002
234087	2014	AMS	Combining GPS tracking and stable isotope analysis to predict changes in gull dynamics	\N	"Sotillo, A.; Stienen, E.; Vincx, M.; Lens, L."	\N
234162	2014	AMS	Consumptie van teruggooi door zeevogels in de zuidelijke Noordzee	\N	"Sotillo, A."	\N
234589	2014	AS	Marine Regions: towards a global standard for georeferenced marine names and boundaries	"GIS has become an indispensable tool for managing and displaying marine spatial data. However, a unique georeferenced standard of marine place names and boundaries was yet to be established. As such, an online, open-access, standardised, hierarchical list of geographic names – Marine Regions – was developed, linking each of these names to information and maps of the geographic location. The objectives are to capture all geographic marine names worldwide, including ocean basins, seas, seamounts, sandbanks, ridges, bays and other marine geographical place names and attributes, and to display univocally the boundaries of marine biogeographic or other managed marine areas in order to facilitate marine data management, marine (geographic) research and the management of marine areas. Marine Regions is freely available at www.marineregions.org."	"Claus, S.; De Hauwere, N.; Vanhoorne, B.; Deckers, P.; Souza Dias, F.; Hernandez, F.; Mees, J."	WOS:000337610400002
240567	2014	AS	Biodiversity data requirements for systematic conservation planning in the Mediterranean Sea	"The Mediterranean Sea’s biodiversity and ecosystems face many threats due to anthropogenic pressures. Some of these include human population growth, coastal urbanization, accelerated human activities, and climate change. To enhance the formation of a science-based system of marine protected areas in the Mediterranean Sea, data on the spatial distribution of ecological features (abiotic variables, species, communities, habitats, and ecosystems) is required to inform conservation scientists and planners. However, the spatial data required is often lacking. In this review, we aimed to address the status of our knowledge for 3 major types of spatial information: bathymetry, classification of marine habitats, and species distributions. To exemplify the data gaps and approaches to bridge them, we examined case studies that systematically prioritize conservation in the Mediterranean Sea. We found that at present the data required for conservation planning is generally more readily available and of better quality for the European countries located in the Western Mediterranean Sea. Additionally, the Mediterranean Sea is lagging behind other marine regions where rigorous criteria for conservation planning has been applied in the past 20 yr. Therefore, we call upon scientists, governments, and international governmental and non-governmental organizations to harmonize current approaches in marine mapping and to develop a framework that is applicable throughout the Mediterranean region. Such coordination between stakeholders is urgently needed before more countries undertake further extensive habitat mapping, so that future conservation planning can use integrated spatial datasets."	"Levin, N.; Coll, M.; Fraschetti, S.; Gal, G.; Giakoumi, S.; Göke, C.; Heymans, J.J.; Katsanevakis, S.; Mazor, T.; Öztürk, B.; Rilov, G.; Gajewski, J.; Steenbeek, J.; Kark, S."	WOS:000341168300020
241001	2014	AS	Fifty years on: Lessons from marine reserves in New Zealand and principles for a worldwide network	"New Zealand pioneered marine reserves, areas in the sea protected from all direct human interference. The first reserve was proposed in 1965 and established in 1977. It has operated successfully ever since. Even one instance proves that such things are possible.

All marine reserves in NZ were initially greeted by a range of objections, and widespread and often loud opposition, This is not surprising since marine reserves prohibit many existing activities and seriously challenge many general opinions. Such opposition is to be expected.

Successful establishment of marine reserves in the first stage was only possible when the proponents were very persistent and had community support. It helped if they could take advantage of some special local circumstance e.g. an adjacent marine laboratory (Leigh), spectacular underwater scenery (Poor Knights), unique biogeography (Kermadecs), cultural significance (Mayor Island), or severe fishery problems (Long Bay).

Careful examination of the objections to marine reserves showed that they were mostly based on misconceptions or misinformation, and can be successfully countered in the public mind by answers based on common sense arguments or well-established facts. Developing these answers, and testing them in the public arena, proved surprisingly useful in both scientific theory and practical politics.

When marine reserves were established, their ecology began to change, due to the cessation of fishing and other previous manipulations. These changes were complex, often large and continued to develop for decades. The study of these changes, and a continuing comparison to fished areas provided a great deal of new scientific data showing how fishing directly and indirectly alters ecosystems.

The scientific benefits of marine reserves proved so numerous that it became clear that marine reserves are as important to science as clean apparatus is to chemistry, and for the same reason. They are the controls for the uncontrolled experiment that is happening due to fishing and other human activities.

The general benefits of marine reserves to society as a whole; directly to conservation, education, recreation and management, and indirectly to fisheries, tourism and coastal planning; are so important that a systematic approach to their creation is in the public interest.

The experience with existing marine reserves (35 to date) is sufficient to state the principles needed for such systems: representation and Replication (of habitats and species); a geographically widespread network; and a total area sufficient to be self-sustaining.

Most of the lessons from New Zealand are based on fundamental human and ecological factors and would be applicable world-wide. Other regions could by-pass the long struggle that occurred in New Zealand and move directly to creating marine reserve network systems based on our experiences and these principles. This has already started to happen in Australia and the USA.
"	"Ballantine, B."	WOS:000340223500037
230520	2014	AS	Strategies for the sustainability of online open-access biodiversity databases	"Scientists can ensure that high quality research information is readily available on the Internet so society is not dependant on less authoritative sources. Many scientific projects and initiatives published information on species and biodiversity on the World Wide Web without users needing to pay for it. However, these resources often stagnated when project funding expired. Based on a large pool of experiences worldwide, this article discusses what measures will help such data resources develop beyond the project lifetime.Biodiversity data, just as data in many other disciplines, are often not generated automatically by machines or sensors. Data on for example species are based on human observations and interpretation. This requires continuous data curation to keep these up to date. Creators of online biodiversity databases should consider whether they have the resources to make their database of such value that other scientists and/or institutions would continue to finance its existence. To that end, it may be prudent to engage such partners in the development of the resource from an early stage. Managers of existing biodiversity databases should reflect on the factors being important for sustainability. These include the extent, scope, quality and uniqueness of database content; track record of development; support from scientists; support from institutions, and clarity of Intellectual Property Rights. Science funders should give special attention to the development of scholarly databases with expert-validated content. The science community has to become aware of the efforts of scientists in contributing to open-access databases, including by citing these resources in the Reference lists of publications that use them. Science culture must thus adapt its practices to support online databases as scholarly publications.To sustain such databases, we recommend they should (a) become integrated into larger collaborative databases or information systems with a consequently larger user community and pool of funding opportunities, and (b) be owned and curated by a science organisation, society, or institution with a suitable mandate. Good governance and proactive communication with contributors is important to maintain the team enthusiasm that launched the resource. Experience shows that ‘bigger is better’ in terms of database size because the resource will have more content, more potential and known uses and users of its content, more contributors, be more prestigious to contribute to, and have more funding options. Furthermore, most successful biodiversity databases are managed by a partnership of individuals and organisations."	"Costello, M.J.; Appeltans, W.; Bailly, N.; Berendsohn, W.G.; de Jong, Y.; Edwards, M.; Froese, R.; Huettmann, F.; Los, W.; Mees, J.; Segers, H.; Bisby, F.A."	WOS:000336874100018
233558	2014	M	African Register of Marine Species (AfReMaS)	"The African Register of Marine Species is a taxonomic database of marine species found along the African coasts. The database was originally developed as the Marine Species Database for Eastern Africa (MASDEA). It was extended thereafter to include species from the entire African coast.Currently it has 24,016 accepted species. The African Register of Marine Species aims to compile and manage an authoritative list of species occurring along the African marine coasts. It is intended to be used as support for biodiversity research for conservation and sustainable management of marine environment. A data mining process was conducted under The Ocean Data and Information Network for Africa (ODINAFRICA) project on three identified taxonomic groups (Molluscs, Porifera and Decapods) with information from books, publications, grey literature and other databases. "	"Wambiji, N.; Odido, M.; Appeltans, W.; Bel Hassen, M.; Mussai, P.; Nsiangango, S.E.; Vandepitte, L.; Zamouri, N.; Jiddou, A.M."	\N
234038	2014	AMS	"Investigating evolution of closely related, sympatric cryptic species using complete mitochondrial DNA"	\N	"Grosemans, T.; Derycke, S.; Moens, T."	\N
233611	2014	AS	"<i>Petalophthalmus papilloculatus</i> sp. nov. (Crustacea: Mysida: Petalophthalmidae), a new bathyal suprabenthic mysid from the Galicia Bank (NE Atlantic Ocean)"	"A new species of the genus <i>Petalophthalmus</i> (Crustacea: Mysida: Petalophthalmidae) is described, based on specimens collected from the Galicia Bank (northeastern Atlantic Ocean). This species can be distinguished from the other species of the genus <i>Petalophthalmus</i> by the presence of an ocular papilla on its eyes. <i>P. papilloculatus </i>sp. nov. is morphologically close to the cosmopolitan species <i>P. armiger</i> Willemoes-Suhm, 1875, but can be easily distinguished by the presence of an ocular papilla, the longer antennal scales bearing an apical lobe, the unique chitinous ridge on the molar process, the outwards lengthening of the three cuspidate setae on the outer margin of the uropodal exopod and the armature of the telson. This new species lives on fine and very fine sandy bottoms at the bank flanks, between 1536 and 1809 m depths. Probably related to the special biogeographic characteristics of seamounts, the morphological affinity between the new species and <i>P. armiger</i> supports the hypothesis on a common ancestry and recent divergence between both deep sea mysids. An identification key to world species of <i>Petalophthalmus </i>is provided."	"San Vicente, C.; Frutos, I.; Cartes, J.E."	WOS:000331103600005
233971	2014	MS	"Book of abstracts – VLIZ Young Scientists’ Day. Brugge, Belgium, 7 March 2014"	\N	"Mees, J.; Seys, J. (Ed.)"	\N
234171	2014	AMS	The ecology of benthopelagic fish at offshore wind farms - Towards an integrated management approach	\N	"Reubens, J."	\N
