event_name,year,venue,date,participant_number,#participants SCIENCE,#participants INDUSTRY,#participants CIVIL SOCIETY,#participants POLICY,Participantlist,event_role
LifeWatch-WoRMS MolluscaBase Editor Workshop,2014,Oostende,6-7 februari 2014,11,NA,NA,NA,NA,NA,NA
EMODnet Biology Workshop on Species Traits,2014,Paris,12-13 februari 2014,15,NA,NA,NA,NA,NA,NA
ODINAfrica Training course on Marine Biodiversity Data Management,2014,Oostende,17-21 maart 2014,15,NA,NA,NA,NA,NA,NA
OBIS Nodes Technical Training Course,2014,Oostende,5-9 mei 2014,15,NA,NA,NA,NA,NA,NA
LifeWatch-WoRMS Fossil Workshop,2014,Málaga,13-14 mei 2014,15,NA,NA,NA,NA,NA,NA
LifeWatch Hackathon,2014,Oostende,26-27 augustus 2014,8,NA,NA,NA,NA,NA,NA
LifeWatch-BioVeL Taverna Developers Workshop,2014,Oostende,6-8 oktober 2014,16,NA,NA,NA,NA,NA,NA
LifeWatch RI EGI-Engage Competence Center Technical Workshop,2015,Santander,14-16 januari 2015,10,NA,NA,NA,NA,NA,NA
LifeWatch-WoRMS NeMys Editor Workshop,2015,Oostende,24-26 februari 2015,14,NA,NA,NA,NA,NA,NA
FixO3 Workshop,2015,Bremen,15-16 april 2015,15,NA,NA,NA,NA,NA,NA
EMODnet Biology Marine Species Traits Workshop,2015,Heraklion,8 juni 2015,19,NA,NA,NA,NA,NA,NA
AquaRES Workshop,2015,Oostende,28-30 september 2015,32,NA,NA,NA,NA,NA,NA
Data Carpentry Workshop,2015,Brussel,2-3 november 2015,15,NA,NA,NA,NA,NA,NA
LifeWatch Data Cleaning and Data Publication Workshop,2015,Brussel,11/9/2015,15,NA,NA,NA,NA,NA,NA
LifeWatch Data Paper Workshop,2015,Brussel,11/13/2015,15,NA,NA,NA,NA,NA,NA
LifeWatch Data Analysis Workshop,2015,Oostende,26-27 november 2015,21,NA,NA,NA,NA,NA,NA
OBIS/OTGA Training Course: Marine Biogeographic Data Management,2015,Oostende,30 november - 4 december 2015,23,NA,NA,NA,NA,NA,NA
LifeWatch-WoRMS Ascidiacea World Database Editor Workshop,2016,Oostende,15-17 februari 2016,12,NA,NA,NA,NA,NA,NA
LifeWatch-WoRMS Marine Cave Species editor workshop (WoRCShop),2016,Oostende,22-25 februari 2016,12,NA,NA,NA,NA,NA,NA
LifeWatch-WoRMS World Amphipoda Database Editor Workshop,2016,Oostende,4-5 april 2016,28,NA,NA,NA,NA,NA,NA
Second ODIP-II Workshop,2016,Boulder,2-5 mei 2016,15,NA,NA,NA,NA,NA,NA
LifeWatch-WoRMS World List of Ostracoda Editor Workshop,2016,Oostende,17-20 mei 2016,11,NA,NA,NA,NA,NA,NA
2nd LifeWatch.be Infrastructure Users Meeting,2016,Oostende,23 mei 2016,39,NA,NA,NA,NA,NA,NA
Vemco Telemetry Workshop,2016,Oostende,27 mei 2016,14,NA,NA,NA,NA,NA,NA
AquaRES user workshop and follow-up committee meeting,2016,Oostende,15 juni 2016,13,NA,NA,NA,NA,NA,NA
EMODnet Biology Marine Traits Workshop,2016,Oostende,17 juni 2016,19,NA,NA,NA,NA,NA,NA
LifeWatch Jerico-Next Flow Cytometry Data Analysis Workshop 2016,2016,Oostende,29-31 augustus 2016,8,NA,NA,NA,NA,NA,NA
Register of Antarctic Species (RAS) Workshop,2016,Leuven,20-22 september 2016,15,NA,NA,NA,NA,NA,NA
OBIS INDEEP training and workshop,2016,Oostende,25-28 oktober 2016,26,NA,NA,NA,NA,NA,NA
Arctic Traits Workshop,2016,Vienna,1-2 december 2016,15,NA,NA,NA,NA,NA,NA
LifeWatch-WoRMS DiatomBase Editor Workshop,2017,Praag,20-22 maart 2017,15,NA,NA,NA,NA,NA,NA
EurOBIS-OBIS data management training,2017,Spala,3-5 april 2017,32,NA,NA,NA,NA,NA,NA
EurOBIS-OBIS data management training,2017,Lodz,6-7 april 2017,6,NA,NA,NA,NA,NA,NA
