DataSystem,Affiliation,Country
Marine_species,"School of Computer Science,  University of Manchester and National Centre for Text Mining (NaCTeM),  Manchester Interdisciplinary Biocentre",UK
Marine_species,eOceans,Canada
Marine_species,"Centre for Marine and Environmental Studies (CESAM) & Department of Biology,  University of Aveiro",Portugal
Marine_species,"Ocean Networks Canada, University of Victoria",Canada
Marine_species,Dep. Earth Sciences Natural History Museum (NHM) London,UK
Marine_species,Saatchi & Saatchi,New Zealand
Marine_species,University of New South Wales,Australia
Marine_species,Wikipedia NL,The Netherlands
Marine_species,Dengun Lda.,Portugal
Marine_species,Taxonomy Group Genbank National Center for Biotechnology Information NIH,USA
Marine_species,"ARC Centre of Excellence for Coral Reef Studies, University of Queensland,  Brisbane",Australia
Marine_species,IFREMER,France
Marine_species,"Global Genome Initiative, Smithsonian Institution",US
Marine_species,"Department of Energy and Process Engineering, Faculty of Engineering, NTNU, Trondheim",Norway
Marine_species,"National Environmental Research Institute, Aarhus University, Dept. of Marine Ecology",Denmark
Marine_species,Institute for Marine Resources and Ecosystem Studies (IMARES),The Netherlands
Marine_species,IFREMER,France
Marine_species,"IRENAV, BCRM Brest, Ecole navale et groupe des écoles du Poulmic",France
Marine_species,K2 Sistemas,Brasil
Marine_species,Spanish National Cancer Research Centre,Spain
Marine_species,Marine Barcode of Life (MarBOL),Canada
Marine_species,"Beijing Genomics Institute (BGI), Shenzhen",China
Marine_species,"Dept. of Civil and Environmental Engineering, Stanford University",USA
Marine_species,The Marine Biological Association- Data Archive Centre (DASSH),UK
Marine_species,"Academia Sinica, Biodiversity Research Center",Taiwan
Marine_species,"Departamento de Biotecnologia Marina, Centro de Investigación Científica y de Educación Superior de Ensenada (CICESE)",Mexico
Marine_species,Filipe Medina de Sousa,Portugal
Marine_species,"Friedrich-Alexander-Universität, Erlangen",Germany
Marine_species,"University of California, Berkeley, Integrative Biology",US
Marine_species,"Leigh Marine Laboratory, University of Auckland",New Zealand
Marine_species,King Abdullah University of Science and Technology,Saudi Arabia
Marine_species,National Oceanic and Atmospheric Administration (NOAA); Center for Coastal Environmental Health and Biomolecular Research,USA
Marine_species,Personal,US
Marine_species,"The Nature Conservancy, Houston, Texas",USA
Marine_species,Marine Ecological Surveys Ltd,UK
Marine_species,AIMS,Australia
Marine_species,"Centre for Environment, Fisheries & Aquaculture Science (CEFAS),  Lowestoft",UK
Marine_species,"Quantitative Aquatics,  Sto. Domingo",Philippines
Marine_species,Circolo attività Subacquee Chieri,Italy
Marine_species,"Bangor University, School of Ocean Sciences",UK
Marine_species,BGI-Qingdao,China
Marine_species,GBIF,Denmark
Marine_species,"Petrobras, Rio de Janeiro",Brasil
Marine_species,"Department of Zoology,  Tel Aviv University, Tel Aviv",Israel
Marine_species,"Queen's University Marine Laboratory (QML), Belfast",Ireland
Marine_species,Universidade da Coruña,Spain
Marine_species,Dalhousie University,Canada
Marine_species,Indonesian Institute of Science,Indonesia
Marine_species,Max Planck Institute for Mathematics in the Sciences,Germany
Marine_species,"Molecular, Ecology, Evolution and Phylogenetics research group, University of Sydney",Australia
Marine_species,Federal Environmental Agency,Germany
Marine_species,Aniol S.L.,UK
Marine_species,GBIF,Denmark
Marine_species,"LifeWatchGreece (LWG),  Hellenic Centre for Marine Research (HCMR)",Greece
Marine_species,"POMC Consulting (One World Analytics), Lancaster",UK
Marine_species,Diveboard.com,France
Marine_species,"Centre for Marine Living Resources & Ecology. Ministry of Earth Sciences, Govt. of India",India
Marine_species,"CORPI, Klaipeda University",Lithuania
Marine_species,OAG - Observatorio Ambiental Granadilla,Spain
Marine_species,CSIRO Marine and Atmospheric Research,Australia
Marine_species,Bundesamt für Seeschifffahrt und Hydrographie (BSH),Germany
Marine_species,Central Marine Fisheries Research Institute,India
Marine_species,"Department of Marine Ecology, National Environmental Institute, University of Aarhus",Denmark
Marine_species,GBIF Swiss Node,Switzerland
Marine_species,IFREMER - Centre de nantes Département EMH,France
Marine_species,"Institute for Polar Ecology, University of Kiel",Germany
Marine_species,Instituto Mediterraneo de Estudios Avanzados (IMEDEA),Spain
Marine_species,L'Institut de recherche pour le développement (IRD),France
Marine_species,"Marine Scotland Science, Marine Laboratory",UK
Marine_species,MUMM,Belgium
Marine_species,Musée cantonal de zoologie,Switzerland
Marine_species,MyDiveAlbum,South Africa
Marine_species,National Institute for Environmental Research and Protection (ISPRA),Italy
Marine_species,"Sorbonne Université/CNRS, Station Biologique de Roscoff",France
Marine_species,University of Messina,Italy
Marine_species,Plymouth Marine Laboratory,UK
Marine_species,"Centro de Investigaciones Marinas, Universidad de La Habana",Cuba
Marine_species,"Benthos Ecology, Marine Institute, Galway",Ireland
Marine_species,Ocean Ecology,UK
Marine_species,Smithsonian,United States
Marine_species,"Centre for Development Co-operation in Fisheries (CDCF), Institute of Marine Research",Norway
Marine_species,"National Institute of Water and Atmospheric Research (NIWA), Wellington",New Zealand
Marine_species,MNHN,France
Marine_species,"University of Washington, School of Aquatic and Fishery Sciences",USA
Marine_species,Yale University,USA
Marine_species,"Center for Macroecology, Evolution and Climate, Department of Biology, Copenhagen University",Denmark
Marine_species,HCMR,Greece
Marine_species,Natural History Museum Vienna,Austria
Marine_species,LazyDiving.com,China
Marine_species,"National Museum of Natural History, Smithsonian Institution",USA
Marine_species,Florida Fish and Wildlife Conservation Commission,USA
Marine_species,Museum and Art Gallery of the Northern Territory,Australia
Marine_species,"University of Essex, School of Computer Science and Electronic Engineering",UK
Marine_species,National Oceanic and Atmospheric Administration (NOAA); Marine Ecosystems Division,USA
Marine_species,Japan Agency for Marine-Earth Science and Technology (JAMSTEC),Japan
Marine_species,Ocean Genome Legacy,USA
Marine_species,Zoological Institute of RAS,Russia
Marine_species,Zoological Institute of RAS,Russia
Marine_species,University of Bologna,Italy
Marine_species," Marine Biodiversity Center, Natural History Museum, Los Angeles",US
Marine_species,VIMAR (Vida Marina),Spain
Marine_species,"Florida International University, Biscayne Bay Campus",USA
Marine_species,University of Alabama at Birmingham,USA
Marine_species,Mathias Lindner,Germany
Marine_species,"IFREMER–DYNECO/VIGIES, Nantes",France
Marine_species,"Cape Cod Museum of Natural History, Brewster, MA",USA
Marine_species,"CREOCEAN Society, Montpellier",France
Marine_species,"Sorbonne Université/CNRS, Laboratoire d'Océanographie de Villefranche",France
Marine_species,"Korea Institute of Ocean Science and Technology, Ocean Observation and Information Section",Korea
Marine_species,"Biodiversity Institute of Ontario, University of Guelph",Canada
Marine_species,"Environment Department, University of York",UK
Marine_species,Juan J. González,Spain
Marine_species,Bitonga Ltd.,UK
Marine_species,"University of British Columbia, Fisheries Centre",Canada
Marine_species,University of California San Diego,USA
Marine_species,"Moss Landing Marine Laboratory, California State University",USA
Marine_species,n/a,France
Marine_species,Réserves Naturelles de France,France
Marine_species,Senckenberg Forschungsinstitut und Naturmuseum Frankfurt,Germany
Marine_species,Divenation.com,UK
Marine_species," US Environmental Protection Agency (US EPA), Coastal Ecology Branch",USA
Marine_species,"USGS Western Fisheries Research Center, Marine Hatfield Science Center",USA
Marine_species,"Instituto de Tecnología y Ciencias Marinas, Universidad Simón Bolívar",Venezuela
Marine_species,Trinity College Dublin,Ireland
Marine_species,Australian Antarctic Division,Australia
Marine_species,Hong Kong Baptist University,N/A
Marine_species,"University of Sheffield, Department of Animal & Plant Sciences",UK
Marine_species,NETAXIA Limited,UK
Marine_species,National Museums Northern Ireland,Ireland
Marine_species,"Department of Paleobiology, National Museum of Natural History, Smithsonian Institution",USA
