Email,FullName,Institute,Standardized_Institute,Country
#,#,personal emailadres,personal,NA
#,#,INBO,INBO Research Institute for Nature and Forest,Belgium
#,#,"Ugent, Faculty of Sciences, Departement of Biology, Terrestrial Ecology Unit",Ghent University - Faculty of Sciences - Biology Department - Terrestrial Ecology Unit (TEREC) ,Belgium
#,#,"Research Institute for Agriculture, Fisheries and Food (ILVO)","ILVO Flanders Research Institute for Agriculture, Fisheries and Food",Belgium
#,#,personal emailadres,personal,Belgium
#,#,Belspo,Federal government - Belgian Science Policy (BELSPO),Belgium
#,#,Consortium of European Taxonomic Facilities (CETAF),CETAF (Consortium of European Taxonomic Facilities),Belgium
#,#,VLIZ,VLIZ Flanders Marine Institute,Belgium
#,#,School of Veterinary Medicine,Aristotle University of Thessaloniki - School of Veterinary Medicine,Greece
#,#,VLIZ,VLIZ Flanders Marine Institute,Belgium
#,#,Belgian Biodiversity Platform (BBPf),Belgian Biodiversity Platform (BBPf),Belgium
#,#,"Ugent, Faculty of Sciences, Departement of Biology, Marine Biology Research group",Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL),Belgium
#,#,Royal Belgian Institute of Natural Sciences (RBINS),RBINS Royal Belgian Institute of Natural Sciences (RBINS),Belgium
#,#,VLIZ,VLIZ Flanders Marine Institute,Belgium
#,#,VLIZ,VLIZ Flanders Marine Institute,Belgium
#,#,Natagora Aves,Natagora,Belgium
#,#,Royal Belgian Institute of Natural Sciences (RBINS),RBINS Royal Belgian Institute of Natural Sciences (RBINS),Belgium
#,#,personal emailadres,personal,NA
#,#,"Uliege, TERRA Research centre",University of Liège - Gembloux Agro-Bio Tech,Belgium
#,#,INBO,INBO Research Institute for Nature and Forest,Belgium
#,#,VLIZ,VLIZ Flanders Marine Institute,Belgium
#,#,VLIZ,VLIZ Flanders Marine Institute,Belgium
#,#,"Uantwerpen, Department of Biology, Behavioural Ecology and Eco-Physiology Group",University of Antwerp - Faculty of Science - Department of Biology - Behavioural Ecology and Ecophysiology (BECO),Belgium
#,#,Royal Belgian Institute of Natural Sciences (RBINS),RBINS Royal Belgian Institute of Natural Sciences (RBINS),Belgium
#,#,personal emailadres,personal,NA
#,#,Royal Belgian Institute of Natural Sciences (RBINS),RBINS Royal Belgian Institute of Natural Sciences (RBINS),Belgium
#,#,Royal Belgian Institute of Natural Sciences (RBINS),RBINS Royal Belgian Institute of Natural Sciences (RBINS),Belgium
#,#,Royal Belgian Institute of Natural Sciences (RBINS),RBINS Royal Belgian Institute of Natural Sciences (RBINS),Belgium
#,#,VLIZ,VLIZ Flanders Marine Institute,Belgium
#,#,European Marine Board (EMB),European Marine Board (EMB),Belgium
#,#,"Université Libre De Bruxelles, Marine Biology Lab","Université Libre De Bruxelles, Marine Biology Lab",Belgium
#,#,"Ugent, Faculty of Sciences, Departement of Biology, Marine Biology Research group",Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL),Belgium
#,#,Royal Belgian Institute of Natural Sciences (RBINS),RBINS Royal Belgian Institute of Natural Sciences (RBINS),Belgium
#,#,VLIZ,VLIZ Flanders Marine Institute,Belgium
#,#,FWO,Research Foundation - Flanders (FWO),Belgium
#,#,VLIZ,VLIZ Flanders Marine Institute,Belgium
#,#,LifeWatch ERIC,LifeWatch ERIC,Europe
#,#,LifeWatch ERIC,LifeWatch ERIC,Europe
#,#,VLIZ,VLIZ Flanders Marine Institute,Belgium
#,#,"Ugent, Falculty of Bioscience Engineering, Department of Animal Sciences and Aquatic Ecology, GhEnToxLab",Ghent University - Faculty of Bioscience Engineering - Department of Animal sciences and aquatic ecology - Environmental Toxicology Unit (GhEnToxLab),Belgium
#,#,WWF Belgium,WWF,Global
#,#,INBO,INBO Research Institute for Nature and Forest,Belgium
#,#,VLIZ,VLIZ Flanders Marine Institute,Belgium
#,#,INBO,INBO Research Institute for Nature and Forest,Belgium
#,#,School of Veterinary Medicine,Aristotle University of Thessaloniki - School of Veterinary Medicine,Greece
#,#,project(!) - De Rijke Noordzee - samen werking tussen Stichting De Noordzee en Natuur En Milieu  - Eline verbonden aan Stichting De Noordzee,Stichting De Noordzee,The Netherlands
#,#,VLIZ,VLIZ Flanders Marine Institute,Belgium
#,#,European Space Agency,European Space Agency,Europe
#,#,project(!) - De Rijke Noordzee - samen werking tussen Stichting De Noordzee en Natuur En Milieu,Natuur en Milieu,The Netherlands
#,#,Vlaamse Instelling voor Technologisch Onderzoek (VITO),VITO Vlaamse Instelling voor Technologisch Onderzoek,Belgium
#,#,INBO,INBO Research Institute for Nature and Forest,Belgium
#,#,INBO,INBO Research Institute for Nature and Forest,Belgium
#,#,INBO,INBO Research Institute for Nature and Forest,Belgium
#,#,"KULeuven, Department of Biology, Ecology, Evolution and Biodiversity Conservation Section; Laboratorium voor Biodiversiteit en Evolutionaire Genomica (LBEG)",Catholique University of Louvain - Laboratory of Biodiversity and Evolutionary Genomics (LBEG),Belgium
#,#,VLIZ,VLIZ Flanders Marine Institute,Belgium
#,#,VLIZ,VLIZ Flanders Marine Institute,Belgium
#,#,Plantentuin Meise,Plantentuin Meise,Belgium
#,#,INBO,INBO Research Institute for Nature and Forest,Belgium
#,#,VLIZ,VLIZ Flanders Marine Institute,Belgium
#,#,"Department of Economy, Science and Innovation","Flemish Government - Department of Economy, Science and Innovation (EWI)",Belgium
#,#,"Department of Economy, Science and Innovation","Flemish Government - Department of Economy, Science and Innovation (EWI)",Belgium
#,#,Royal Belgian Institute of Natural Sciences (RBINS),RBINS Royal Belgian Institute of Natural Sciences (RBINS),Belgium
#,#,"Brazilian Government, Ministry of Agriculture, Livestock and Food supply, Brazilian Agricultural Research Corporation","Brazil government - Ministry of Agriculture, Livestock and Food supply - Brazilian Agricultural Research Corporation",Brazil
#,#,"Ugent, Faculty of Sciences, Departement of Biology, Terrestrial Ecology Unit",Ghent University - Faculty of Sciences - Biology Department - Terrestrial Ecology Unit (TEREC) ,Belgium
#,#,INBO,INBO Research Institute for Nature and Forest,Belgium
#,#,VLIZ,VLIZ Flanders Marine Institute,Belgium
#,#,"Swedish University of Agricultural Sciences (SLU), Department of Wildlife, Fish and Environmental Studies",Swedish University of Agricultural Sciences (SLU),Sweden
#,#,Royal Belgian Institute of Natural Sciences (RBINS),RBINS Royal Belgian Institute of Natural Sciences (RBINS),Belgium
#,#,INBO,INBO Research Institute for Nature and Forest,Belgium
#,#,"Ugent, Faculty of Sciences, Departement of Biology, Terrestrial Ecology Unit",Ghent University - Faculty of Sciences - Biology Department - Terrestrial Ecology Unit (TEREC) ,Belgium
#,#,VLIZ,VLIZ Flanders Marine Institute,Belgium
#,#,VLIZ,VLIZ Flanders Marine Institute,Belgium
#,#,VLIZ,VLIZ Flanders Marine Institute,Belgium
#,#,Royal Belgian Institute of Natural Sciences (RBINS),RBINS Royal Belgian Institute of Natural Sciences (RBINS),Belgium
#,#,INBO,INBO Research Institute for Nature and Forest,Belgium
#,#,"Ugent, Falculty of Bioscience Engineering, Department of Animal Sciences and Aquatic Ecology, GhEnToxLab",Ghent University - Faculty of Bioscience Engineering - Department of Animal sciences and aquatic ecology - Environmental Toxicology Unit (GhEnToxLab),Belgium
#,#,EMODnet Secretariat,EMODnet (European Marine Observation and Data Network) - Secretariat,Europe
#,#,VLIZ,VLIZ Flanders Marine Institute,Belgium
