Usage_type,Since,Application,Institute,Country,,
Received access to download a monthly copy of WoRMS,2010-03-30,A lexicon/dictionary for marine biology for research purposes,"School of Computer Science,  University of Manchester and National Centre for Text Mining (NaCTeM),  Manchester Interdisciplinary Biocentre",UK,,
Received access to download a monthly copy of WoRMS,2019-10-09,A mobile app for citizen science and science collaboration ,eOceans,Canada,,
Received access to download a monthly copy of WoRMS,2011-01-06,A review on bioactive compounds produced by marine organisms,"Centre for Marine and Environmental Studies (CESAM) & Department of Biology,  University of Aveiro",Portugal,,
Received access to download a monthly copy of WoRMS,2017-10-19,Access from a Cruise Annotation Software,"Ocean Networks Canada, University of Victoria",Canada,,
Received access to download a monthly copy of WoRMS,2014-01-20,Adding hierarchical classification to bryozoan species,Dep. Earth Sciences Natural History Museum (NHM) London,UK,,
Received access to download a monthly copy of WoRMS,2008-04-14,Advertisement,Saatchi & Saatchi,New Zealand,,
Received access to download a monthly copy of WoRMS,2018-01-23,Amphipod taxonomy from WoRMS will be used for automated quality control of host associations mined from historical literature,University of New South Wales,Australia,,
Received access to download a monthly copy of WoRMS,2018-01-23,Animal Project,Wikipedia NL,The Netherlands,,
Received access to download a monthly copy of WoRMS,2017-03-16,Application to see & submit record of marine biodiversity,Dengun Lda.,Portugal,,
Received access to download a monthly copy of WoRMS,2017-08-18,Assure NCBl's taxonomy database is as accurate as possible,Taxonomy Group Genbank National Center for Biotechnology Information NIH,USA,,
Received access to download a monthly copy of WoRMS,2015-07-17,Automate dataset modifications with recent Scleractinia taxonomy,"ARC Centre of Excellence for Coral Reef Studies, University of Queensland,  Brisbane",Australia,,
Received access to download a monthly copy of WoRMS,2007-11-25,AVANO,IFREMER,France,,
Received access to download a monthly copy of WoRMS,2016-01-07,Backbone taxonomy of all marine organisms found on US the continental shelf,"Global Genome Initiative, Smithsonian Institution",US,,
Received access to download a monthly copy of WoRMS,2017-08-18,Background data for developing a method to examine the impacts and introduction pathways of marine invasive species,"Department of Energy and Process Engineering, Faculty of Engineering, NTNU, Trondheim",Norway,,
Received access to download a monthly copy of WoRMS,2011-04-12,Base line studies of bottom fauna from the West coast of Greenland,"National Environmental Research Institute, Aarhus University, Dept. of Marine Ecology",Denmark,,
Received access to download a monthly copy of WoRMS,2011-09-07,BEAST Database,Institute for Marine Resources and Ecosystem Studies (IMARES),The Netherlands,,
Received access to download a monthly copy of WoRMS,2008-03-11,BIOCEAN,IFREMER,France,,
Received access to download a monthly copy of WoRMS,2010-09-28,Biogéographie & Systématique des crustacés tropicaux,"IRENAV, BCRM Brest, Ecole navale et groupe des écoles du Poulmic",France,,
Received access to download a monthly copy of WoRMS,2015-04-29,Biological fouling website for Brazilian Navy,K2 Sistemas,Brasil,,
Received access to download a monthly copy of WoRMS,2012-02-27,Biomedical text mining tool,Spanish National Cancer Research Centre,Spain,,
Received access to download a monthly copy of WoRMS,2008-03-02,BOLD,Marine Barcode of Life (MarBOL),Canada,,
Received access to download a monthly copy of WoRMS,2016-11-02,Build a database of all sequenced marine species,"Beijing Genomics Institute (BGI), Shenzhen",China,,
