,DataSystem,Affiliation,Country,Unnamed: 3,Unnamed: 4,Unnamed: 5,stand_affil,similarity_method,stand_country,stand_flemish,stand_GROUP,stand_QH
0,Marine_species,"School of Computer Science,  University of Manchester and National Centre for Text Mining (NaCTeM),  Manchester Interdisciplinary Biocentre",UK,,,,University of Manchester - Department of computer science,,UK,,University,Science
1,Marine_species,eOceans,Canada,,,,eOceans,,Global,,Creative body,Civil society
2,Marine_species,"Centre for Marine and Environmental Studies (CESAM) & Department of Biology,  University of Aveiro",Portugal,,,,University of Aveiro - Department of Biology - Centre for Marine and Environmental Studies (CESAM)  ,x,Portugal,,Research institute,Science
3,Marine_species,"Ocean Networks Canada, University of Victoria",Canada,,,,University of Victoria - Ocean Networks Canada,,Canada,,University,Science
4,Marine_species,Dep. Earth Sciences Natural History Museum (NHM) London,UK,,,,NHM (Natural History Museum) - Earth Sciences Department ,x,UK,,Museum,Science
5,Marine_species,Saatchi & Saatchi,New Zealand,,,,Saatchi & Saatchi,,Global,,Company,Industry
6,Marine_species,University of New South Wales,Australia,,,,University of New South Wales,,Australia,,University,Science
7,Marine_species,Wikipedia NL,The Netherlands,,,,Wikipedia,,Global,,Data infrastructure,Science
8,Marine_species,Dengun Lda.,Portugal,,,,Dengun Digital Agency,,Portugal,,Company,Industry
9,Marine_species,Taxonomy Group Genbank National Center for Biotechnology Information NIH,USA,,,,National Center for Biotechnology Information (NCBI),x,USA,,Data infrastructure,Science
10,Marine_species,"ARC Centre of Excellence for Coral Reef Studies, University of Queensland,  Brisbane",Australia,,,,University of Queensland - ARC Centre of Excellence for Coral Reef Studies,x,,,,
11,Marine_species,IFREMER,France,,,,IFREMER - DYNECO (Unité Dynamiques des Ecosystèmes Côtiers),,France,,Research institute,Science
12,Marine_species,"Global Genome Initiative, Smithsonian Institution",US,,,,Smithsonian Institution - Smithsonian National Museum of Natural History - Global Genome Initiative (GGI),,USA,,Museum,Science
13,Marine_species,"Department of Energy and Process Engineering, Faculty of Engineering, NTNU, Trondheim",Norway,,,,Norwegian University of Science and Technology (NTNU) - Faculty of Engineering - Department of Energy and Process Engineering - Industrial Ecology Programme,,Norway,,Research institute,Science
14,Marine_species,"National Environmental Research Institute, Aarhus University, Dept. of Marine Ecology",Denmark,,,,Aarhus University - Department of Marine Ecology - National Environmental Research Institute,,Denmark,,Research institute,Science
15,Marine_species,Institute for Marine Resources and Ecosystem Studies (IMARES),The Netherlands,,,,IMARES (Institute for Marine Resources and Ecosystem Studies),,,,,
16,Marine_species,IFREMER,France,,,,IFREMER - DYNECO (Unité Dynamiques des Ecosystèmes Côtiers),,France,,Research institute,Science
17,Marine_species,"IRENAV, BCRM Brest, Ecole navale et groupe des écoles du Poulmic",France,,,,IRENav French Naval Academy Research Institute,,France,,Research institute,Science
18,Marine_species,K2 Sistemas,Brasil,,,,K2 Sistemas,,Brazil,,Consultancy,Industry
19,Marine_species,Spanish National Cancer Research Centre,Spain,,,,CNIO (Spanish National Cancer Research Center),,Spain,,Research institute,Science
20,Marine_species,Marine Barcode of Life (MarBOL),Canada,,,,Marine Barcode of Life (MarBOL),,Canada,,Data infrastructure,Science
21,Marine_species,"Beijing Genomics Institute (BGI), Shenzhen",China,,,,Beijing Genomics Institute (BGI),,China,,Company,Industry
