BrefID,Special Collections
213282,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
213296,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
213337,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
213372,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
215501,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
215650,"LifeWatch Species Information Backbone, ""Marine Regions acknowledged"""
215652,"LifeWatch Species Information Backbone, ""Marine Regions acknowledged"""
215780,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
215782,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
215856,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
216092,"EUROBIS ackn - indirect use, ""European Oceanographic Biogeographic Information System (EurOBIS) acknowledged"", ""LifeWatch Species Information Backbone"""
216520,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
216543,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
216722,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
216932,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
217433,"EUROBIS ackn - indirect use, ""European Oceanographic Biogeographic Information System (EurOBIS) acknowledged"", ""Interim Register of Marine and Nonmarine Genera (IRMNG) acknowledged"", ""LifeWatch Species Information Backbone"", ""Marine Regions acknowledged"", ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
217533,"LifeWatch Species Information Backbone, ""Marine Regions acknowledged"""
217736,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
218419,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
218554,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
218670,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
218677,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
218688,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
218739,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
219339,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
219405,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
219539,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
