BrefID,SortDate,BibLvlCode,StandardTitle,RefStrFull,AbstractEnglish,Refstringauthors,WoScode,FullAut,Affiliation,DOI,ownDOI,spcolNames,GeoTerms,TaxTerms,ThesTerms,OtherTerms,AuthorKeywords,DocType,LitStyles,ThesisDegree
213282,2012,MS,"Book of abstracts - VLIZ Young Marine Scientists' Day. Brugge, Belgium, 24 February 2012","<b>Mees, J.; Seys, J. (Ed.)</b> (2012). Book of abstracts - VLIZ Young Marine Scientists' Day. Brugge, Belgium, 24 February 2012. <i>VLIZ Special Publication</i>, 55. Flanders Marine Institute (VLIZ): Oostende.  xi, 150 pp.",NULL,"Mees, J.; Seys, J. (Ed.)",NULL,"Seys, Jan, J.",Flanders Marine Institute,NULL,NULL,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""",Belgium,NULL,"Conferences, ""Marine scientists""",NULL,NULL,Book/Monograph,Conference,NULL
213296,2012,AMS,How many known species in the Ocean and in WoRMS?,"<b>Appeltans, W.; Costello, M.J.; Decock, W.; Vanhoorne, B.; Deneudt, K.; Hernandez, F.</b> (2012). How many known species in the Ocean and in WoRMS?, <b><i>in</i></b>: Mees, J. <i>et al.</i> (Ed.) <i>Book of abstracts - VLIZ Young Marine Scientists' Day. Brugge, Belgium, 24 February 2012. VLIZ Special Publication,</i> 55: pp. 11",NULL,"Appeltans, W.; Costello, M.J.; Decock, W.; Vanhoorne, B.; Deneudt, K.; Hernandez, F.",NULL,"Appeltans, Ward, W.",Flanders Marine Institute (VLIZ),NULL,NULL,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""",NULL,NULL,NULL,NULL,NULL,Book chapters,Summary,NULL
213337,2012,AMS,Talking to the WoRMS: what can VLIZ web services do for you?,"<b>Deneudt, K.; Vanhoorne, B.; Appeltans, W.; Hernandez, F.</b> (2012). Talking to the WoRMS: what can VLIZ web services do for you?, <b><i>in</i></b>: Mees, J. <i>et al.</i> (Ed.) <i>Book of abstracts - VLIZ Young Marine Scientists' Day. Brugge, Belgium, 24 February 2012. VLIZ Special Publication,</i> 55: pp. 23",NULL,"Deneudt, K.; Vanhoorne, B.; Appeltans, W.; Hernandez, F.",NULL,"Vanhoorne, Bart, B.",Flanders Marine Institute (VLIZ),NULL,NULL,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""",NULL,NULL,NULL,NULL,NULL,Book chapters,Summary,NULL
213372,2012,AMS,The Belgian Register of Marine Species - BeRMS,"<b>VLIZ Belgian Marine Species Consortium</b> (2012). The Belgian Register of Marine Species - BeRMS, <b><i>in</i></b>: Mees, J. <i>et al.</i> (Ed.) <i>Book of abstracts - VLIZ Young Marine Scientists' Day. Brugge, Belgium, 24 February 2012. VLIZ Special Publication,</i> 55: pp. 108",NULL,VLIZ Belgian Marine Species Consortium,NULL,VLIZ Belgian Marine Species Consortium,Flanders Marine Institute (VLIZ),NULL,NULL,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""",Belgian Continental Shelf (BCS),NULL,Biodiversity,NULL,NULL,Book chapters,Summary,NULL
215501,2012,AS,Global diversity of sponges (Porifera),"<b>Van Soest, R.W.M.; Boury-Esnault, N.; Vacelet, J.; Dohrmann, M.; Erpenbeck, D.; de Voogd, N.J.; Santodomingo, N.; Vanhoorne, B.; Kelly, M.; Hooper, J.N.A.</b> (2012). Global diversity of sponges (Porifera). <i>PLoS One 7(4)</i>: e35105. <a href=""http://dx.doi.org/10.1371/journal.pone.0035105"" target=""_blank"">dx.doi.org/10.1371/journal.pone.0035105</a>","With the completion of a single unified classification, the Systema Porifera (SP) and subsequent development of an online species database, the World Porifera Database (WPD), we are now equipped to provide a first comprehensive picture of the global biodiversity of the Porifera. An introductory overview of the four classes of the Porifera is followed by a description of the structure of our main source of data for this paper, the WPD. From this we extracted numbers of all ‘known’ sponges to date: the number of valid Recent sponges is established at 8,553, with the vast majority, 83%, belonging to the class Demospongiae. We also mapped for the first time the species richness of a comprehensive set of marine ecoregions of the world, data also extracted from the WPD. Perhaps not surprisingly, these distributions appear to show a strong bias towards collection and taxonomy efforts. Only when species richness is accumulated into large marine realms does a pattern emerge that is also recognized in many other marine animal groups: high numbers in tropical regions, lesser numbers in the colder parts of the world oceans. Preliminary similarity analysis of a matrix of species and marine ecoregions extracted from the WPD failed to yield a consistent hierarchical pattern of ecoregions into marine provinces. Global sponge diversity information is mostly generated in regional projects and resources: results obtained demonstrate that regional approaches to analytical biogeography are at present more likely to achieve insights into the biogeographic history of sponges than a global perspective, which appears currently too ambitious. We also review information on invasive sponges that might well have some influence on distribution patterns of the future.","Van Soest, R.W.M.; Boury-Esnault, N.; Vacelet, J.; Dohrmann, M.; Erpenbeck, D.; de Voogd, N.J.; Santodomingo, N.; Vanhoorne, B.; Kelly, M.; Hooper, J.N.A.",WOS:000305336000024,"Vanhoorne, Bart, B.",Flanders Marine Institute-VLIZ,https://dx.doi.org/10.1371/journal.pone.0035105,NULL,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""",NULL,Porifera,"Biodiversity, ""Databases"", ""Taxonomy""",NULL,NULL,Journal article,NULL,NULL
215650,2012,AS,Quantifying the global wave power resource,"<b>Gunn, K.; Stock-Williams, C.</b> (2012). Quantifying the global wave power resource. <i>Renew. Energy 44</i>: 296-304. <a href=""https://dx.doi.org/10.1016/j.renene.2012.01.101"" target=""_blank"">https://dx.doi.org/10.1016/j.renene.2012.01.101</a>","Justifying continued development and large-scale deployment of Wave Energy Converters (WECs) requires quantification of the potential resource. Currently, estimates are available for individual countries or, at low accuracy, for global resource. Additionally, existing estimates do not provide insight into potential future markets, i.e. the location of the resource.Here, NOAA WaveWatch III data are analysed for a 6-year period to calculate wave energy potential. The global market is then quantified by calculating the energy flux across a line 30 nautical miles offshore. Results are presented by country, continent, hemisphere and for the globe.Confidence values are also presented in the form of 95% confidence intervals. These limits provide insight into the uncertainty associated with the length of dataset used and the variability of the resource. This enables direct comparison with other resource assessment studies, whether using numerical model or measured data. An extensive survey of previous global and regional resource estimates is also conducted, in order to compare both results and methods.Supplementing this, extractable resource is estimated by considering the deployment of an illustrative WEC (Pelamis P2). The global wave power resource is 2.11 ± 0.05 TW, of which 4.6% is extractable with the chosen WEC configuration.","Gunn, K.; Stock-Williams, C.",WOS:000302821800034,"Gunn, Kester, K.","EON New Build & Technol, Ctr Technol, Nottingham, England.",https://dx.doi.org/10.1016/j.renene.2012.01.101,NULL,"LifeWatch Species Information Backbone, ""Marine Regions acknowledged""",NULL,NULL,"Wave energy, ""Wave power"", ""Waves""",NULL,Wave resource; Resource assessment; Site finding,Journal article,NULL,NULL
215652,2012,AS,"Seabird conservation status, threats and priority actions: a global assessment","<b>Croxall, J.P.; Butchart, S.H.M.; Lascelles, B.; Stattersfield, A.J.; Sullivan, B.; Symes, A.; Taylor, P.</b> (2012). Seabird conservation status, threats and priority actions: a global assessment. <i>Bird. Cons. Intern. 22(1)</i>: 1-34. <a href=""https://dx.doi.org/10.1017/S0959270912000020"" target=""_blank"">https://dx.doi.org/10.1017/S0959270912000020</a>","We review the conservation status of, and threats to, all 346 species of seabirds, based on BirdLife International’s data and assessments for the 2010 IUCN Red List. We show that overall, seabirds are more threatened than other comparable groups of birds and that their status has deteriorated faster over recent decades. The principal current threats at sea are posed by commercial fisheries (through competition and mortality on fishing gear) and pollution, whereas on land, alien invasive predators, habitat degradation and human disturbance are the main threats. Direct exploitation remains a problem for some species both at sea and ashore. The priority actions needed involve: a) formal and effective site protection, especially for Important Bird Area (IBA) breeding sites and for marine IBA feeding and aggregation sites, as part of national, regional and global networks of Marine Protected Areas; b) removal of invasive, especially predatory, alien species (a list of priority sites is provided), as part of habitat and species recovery initiatives; and c) reduction of bycatch to negligible levels, as part of comprehensive implementation of ecosystem approaches to fisheries. The main knowledge gaps and research priorities relate to the three topics above but new work is needed on impacts of aquaculture, energy generation operations and climate change (especially effects on the distribution of prey species and rise in sea level). We summarise the relevant national and international jurisdictional responsibilities, especially in relation to endemic and globally threatened species.","Croxall, J.P.; Butchart, S.H.M.; Lascelles, B.; Stattersfield, A.J.; Sullivan, B.; Symes, A.; Taylor, P.",WOS:000301298900001,"Croxall, J.P.","BirdLife Int, Wellbrook Court, Cambridge CB3 0NA, England.",https://dx.doi.org/10.1017/S0959270912000020,NULL,"LifeWatch Species Information Backbone, ""Marine Regions acknowledged""",NULL,NULL,NULL,NULL,NULL,Journal article,NULL,NULL
215780,2012,AS,First record of the pelagic fish species blue whiting <i>Micromesistius poutassou</i> in the Belgian part of the North Sea,"<b>Van Ginderdeuren, K.; Hoffman, S.; Vandendriessche, S.; Vincx, M.; Hostens, K.</b> (2012). First record of the pelagic fish species blue whiting <i>Micromesistius poutassou</i> in the Belgian part of the North Sea. <i>Belg. J. Zool. 142(1)</i>: 93-96",NULL,"Van Ginderdeuren, K.; Hoffman, S.; Vandendriessche, S.; Vincx, M.; Hostens, K.",WOS:000304055400009,"Van Ginderdeuren, Karl, K.","Ghent University (UGent), Biology Department, Marine Biology Section",NULL,NULL,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""",Belgian Continental Shelf (BCS),"Micromesistius poutassou, ""Micromesistius poutassou (Risso, 1827)""",Introduced species,NULL,blue whiting; Micromesistius poutassou; Belgian part of the North Sea; Belgium,Journal article,NULL,NULL
215782,2012,AS,Updating the zooplankton species list for the Belgian part of the North Sea,"<b>Van Ginderdeuren, K.; Fiers, F.; De Backer, A.; Vincx, M.; Hostens, K.</b> (2012). Updating the zooplankton species list for the Belgian part of the North Sea. <i>Belg. J. Zool. 142(1)</i>: 3-22","Many marine species are threatened, and given the importance of biodiversity indices in the current European marine policy, taking stock of existing species and species diversity is crucial. Zooplankton form the basis of the pelagic food web, acting as staple food for fish larvae and adult pelagic fish, but are very susceptible to a changing climate. Inventorying zooplanktonic diversity is therefore important. Based on monthly sampling campaigns in 2009 and 2010, an update is provided on the zooplankton species list for the Belgian part of the North Sea. A total of 137 taxa are listed, some of which had rarely or never been observed in the area. This inventory revealed several species new to the Belgian marine species list: the calanoid copepod <i>Metridia lucens</i>, the cyclopoids <i>Oithona similis</i> and <i>Giardella callianassae</i>, the hydrozoans <i>Amphinema dinema</i> and <i>Eutima gracilis</i>, the mysid <i>Acanthomysis longicornis</i>, the polychaete worm <i>Tomopteris helgolandica</i>, the cladoceran <i>Penilia avirostris</i> and the monstrilloid copepod <i>Cymbasoma germanicum</i>. Additionally, we identified several males of <i>C. germanicum</i>, which have never been described before. Brief discussions are presented on spatial distribution and abundance of all taxa.","Van Ginderdeuren, K.; Fiers, F.; De Backer, A.; Vincx, M.; Hostens, K.",WOS:000304055400001,"De Backer, Annelies, A.","Institute for Agricultural and Fisheries Research, Animal Sciences Unit - Fisheries",NULL,NULL,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""",Belgian Continental Shelf (BCS),NULL,"Check lists, ""Zooplankton""",NULL,zooplankton; marine biodiversity; Belgian part of the North Sea; species list; faunal additions,Journal article,NULL,NULL
215856,2012,M,Pliocene Panamanian Gateway tectonics and climate change at 3.3 Ma: palynological and Mg/Ca analysis of MIS M2 at Caribbean ODP Site 999,"<b>Van Renterghem, C.</b> (2012). Pliocene Panamanian Gateway tectonics and climate change at 3.3 Ma: palynological and Mg/Ca analysis of MIS M2 at Caribbean ODP Site 999. MSc Thesis. Universiteit Gent. Faculteit Wetenschappen: Gent.  183 pp.",NULL,"Van Renterghem, C.",NULL,"Van Renterghem, Cédéric, C.",NULL,NULL,NULL,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""",Caribbean,Dinoflagellata,Pliocene,NULL,NULL,Book/Monograph,Dissertation,MSc
