,BrefID,SortDate,BibLvlCode,StandardTitle,RefStrFull,AbstractEnglish,Refstringauthors,WoScode,FullAut,Affiliation,DOI,ownDOI,spcolNames,GeoTerms,TaxTerms,ThesTerms,OtherTerms,AuthorKeywords,DocType,LitStyles,ThesisDegree,wos_affil,wos_country,wos_keywords,wos_plus_keywords,wos_categories,wos_researcharea,stand_affil,similarity_method,stand_country,stand_flemish,stand_GROUP,stand_QH
0,296425,2018,AM,JERICO-RI: Progress toward an automated detection of phytoplankton in Europe coastal areas,"<b>Puillat, I.; Artigas, L.F.; Creach, V.; Debusschere, E.; Rijkeboer, M.; Marrec, P.; Thyssen, M.; Karlson, B.</b> (2018). JERICO-RI: Progress toward an automated detection of phytoplankton in Europe coastal areas, <b><i>in</i></b>: <i>4th Geo Blue Planet Symposium, July 4-6, 2018, Toulouse, France: Abstracts.</i> ",,"Puillat, I.; Artigas, L.F.; Creach, V.; Debusschere, E.; Rijkeboer, M.; Marrec, P.; Thyssen, M.; Karlson, B.",,"Debusschere, Elisabeth, E.",Flanders Marine Institute,,,"Lifewatch acknowledged, ""LifeWatch Observatory""",,,,,,Book chapters,Summary,,,,,,,,VLIZ Flanders Marine Institute,,Belgium,x,Research institute,Science
1,296442,2018,AS,Marine biological value along the Portuguese continental shelf; insights into current conservation and management tools,"<b>Gomes, I.; Pérez-Jorge, S.; Peteiro, L.; Andrade, J.; Bueno-Pardo, J.; Quintino, V.; Rodrigues, A.M.; Azevedo, M.; Vanreusel, A.; Queiroga, H.; Deneudt, K.; Gomes, I.</b> (2018). Marine biological value along the Portuguese continental shelf; insights into current conservation and management tools. <i>Ecol. Indic. 93</i>: 533-546. <a href=""https://hdl.handle.net/10.1016/j.ecolind.2018.05.040"" target=""_blank"">https://hdl.handle.net/10.1016/j.ecolind.2018.05.040</a>","The valuation of nature is an inbuilt component of validating environmental management decisions and an important research field for different disciplines related to conservation, economy and ethics. Here, biodiversity was valued using an ecological approach based on the intrinsic value incorporated in biodiversity per se, regardless of any human association. The Marine Biological Valuation protocol was drawn upon the methodology of terrestrial valuation maps, to support the European MSFD environmental status assessment (descriptor 1 – biodiversity) and national marine spatial planning approaches. To apply the protocol on the Portuguese continental shelf we compiled and analyzed national biological databases for a wide taxonomic range of ecosystem components (seabirds, demersal fish, macrobenthos, marine mammals and sea turtles) and assessed the spatial overlap with existing and proposed conservation areas (Natura 2000 network). The resultant maps described patterns of biological value consistent with the physical and biological oceanographic conditions as well as local hydrodynamics of the Portuguese continental shelf. The results of our approach confirm previously identified valuable areas for protection (particularly in the northern and central regions), but also highlights the value of currently unprotected sites, mainly in the southern region. Biological valuation maps showed to be comprehensive tool to compile and spatially analyze biological datasets. By drawing attention to subzones of biological importance, it constitutes a valuable instrument in making appropriate-scale decisions on the spatial allocation of human activities in the context of the Portuguese marine spatial planning, currently facing the pressure and impacts of increased maritime exploitation.","Gomes, I.; Pérez-Jorge, S.; Peteiro, L.; Andrade, J.; Bueno-Pardo, J.; Quintino, V.; Rodrigues, A.M.; Azevedo, M.; Vanreusel, A.; Queiroga, H.; Deneudt, K.; Gomes, I.",WOS:000452692600054,"Pérez-Jorge, Sergi, S.",,https://hdl.handle.net/10.1016/j.ecolind.2018.05.040,,"Lifewatch acknowledged, ""LifeWatch Observatory"", ""LifeWatch Species Information Backbone"", ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""",,,,,Assessment tool; Intrinsic value; Biodiversity; Ecolical criteria; Conservation; Marine spatial planning ,Journal article,,,"Univ Aveiro, CESAM, Campus Univ Santiago, P-3810193 Aveiro, Portugal.",Portugal,Assessment tool; Intrinsic value; Biodiversity; Ecological criteria; Conservation; Marine spatial planning,ECONOMIC VALUATION; ECOSYSTEM SERVICES; ECOLOGICAL CRITERIA; PROTECTED AREAS; BIODIVERSITY; RESERVES; IMPACTS; CONTEXT; SPACE; BAY,Biodiversity Conservation; Environmental Sciences,Biodiversity & Conservation; Environmental Sciences & Ecology,University of Aveiro - Department of Biology,x,Portugal,,University,Science
2,296466,2018,AS,Six decades of change in pollution and benthic invertebrate biodiversity in a southern New England estuary,"<b>Hale, S.S.; Buffum, H.W.; Hughes, M.M.</b> (2018). Six decades of change in pollution and benthic invertebrate biodiversity in a southern New England estuary. <i>Mar. Pollut. Bull. 133</i>: 77-87. <a href=""https://hdl.handle.net/10.1016/j.marpolbul.2018.05.019"" target=""_blank"">https://hdl.handle.net/10.1016/j.marpolbul.2018.05.019</a>","Pollution has led to a decline of benthic invertebrate biodiversity of Narragansett Bay, raising questions about effects on ecosystem functions and services including shellfish production, energy flow to fishes, and biogeochemical cycles. Changes in community composition and taxonomic distinctness (biodiversity) were calculated from the 1950s—when quantitative benthic invertebrate data first became available—to 2015. Change in community composition of the bay was correlated with changes in dissolved inorganic nitrogen, dissolved oxygen, and sediment contaminants. A mid-bay reference site showed moderate changes in community composition but no change in biodiversity. In contrast, a more impacted site in the upper bay showed substantial differences in community composition over time and a decline in taxonomic distinctness. Bay-wide, as inputs of some stressors such as nutrients and sediment contaminants have declined, there are signs of recovery of benthic biodiversity but other stressors such as temperature and watershed development are increasing.","Hale, S.S.; Buffum, H.W.; Hughes, M.M.",WOS:000441853600008,"Hale, Stephen, S.S.",,https://hdl.handle.net/10.1016/j.marpolbul.2018.05.019,,"EUROBIS ackn - indirect use, ""European Oceanographic Biogeographic Information System (EurOBIS) acknowledged"", ""LifeWatch Species Information Backbone"", ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""",,,,,Marine benthic invertebrates; Biodiversity; Taxonomic distinctness; Temporal trends; Pollution; Narragansett Bay,Journal article,,,"US EPA, Atlantic Ecol Div, Natl Hlth & Environm Effects Res Lab, Off Res & Dev, 27 Tarzwell Dr, Narragansett, RI 02882 USA.",USA,Marine benthic invertebrates; Biodiversity; Taxonomic distinctness; Temporal trends; Pollution; Narragansett Bay,FUNCTIONAL REDUNDANCY; MARINE BIODIVERSITY; HISTORICAL CHANGES; NARRAGANSETT BAY; RHODE-ISLAND; ECOSYSTEM; COMMUNITY; TRENDS; WATER; STRESSORS,Environmental Sciences; Marine & Freshwater Biology,Environmental Sciences & Ecology; Marine & Freshwater Biology,US Environmental Protection Agency (US EPA),x,USA,,Governmental body,Policy
3,296468,2019,AS,"Marine climate and hydrography of the Coralline Crag (early Pliocene, UK): Isotopic evidence from 16 benthic invertebrate taxa","<b>Vignols, R.M.; Valentine, A.M.; Finlayson, A.G.; Harper, E.M.; Schöne, B.R.; Leng, M.J.; Sloane, H.J.; Johnson, A.L.A.</b> (2019). Marine climate and hydrography of the Coralline Crag (early Pliocene, UK): Isotopic evidence from 16 benthic invertebrate taxa. <i>Chem. Geol. 526</i>: 62-83. <a href=""https://hdl.handle.net/10.1016/j.chemgeo.2018.05.034"" target=""_blank"">https://hdl.handle.net/10.1016/j.chemgeo.2018.05.034</a>","The taxonomic composition of the biota of the Coralline Crag Formation (early Pliocene, eastern England) provides conflicting evidence of seawater temperature during deposition, some taxa indicating cool temperate conditions by analogy with modern representatives or relatives, others warm temperate to subtropical/tropical conditions. Previous isotopic (δ<sup>18</sup>O) evidence of seasonal seafloor temperatures from serial ontogenetic sampling of bivalve mollusk shells indicated cool temperate winter (<10 °C) and/or summer (<20 °C) conditions but was limited to nine profiles from two species, one ranging into and one occurring exclusively in cool temperate settings at present. We supplement these results with six further profiles from the species concerned and supply seven more from three other taxa (two supposedly indicative of warm waters) to provide an expanded and more balanced database. We also supply isotopic temperature estimates from 81 spot and whole-shell samples from these five taxa and 11 others, encompassing ‘warm’, ‘cool’ and ‘eurythermal’ forms by analogy with modern representatives or relatives. Preservation tests show no shell alteration. Subject to reasonable assumptions about water δ<sup>18</sup>O, the shell δ<sup>18</sup>O data either strongly indicate or are at least consistent with cool temperate seafloor conditions. The subtropical/tropical conditions suggested by the presence of the bryozoan <i>Metrarabdotos</i> did not exist. Microgrowth-increment and δ<sup>13</sup>C evidence indicate summer water-column stratification during deposition of the Ramsholt Member, unlike in the adjacent southern North Sea at present (well mixed due to shallow depth and strong tidal currents). Summer maximum surface temperature was probably about 5 °C above seafloor temperature and thus often slightly higher than now (17–19 °C rather than 16–17 °C), but only sometimes in the warm temperate range. Winter minimum surface temperature was below 10 °C and possibly the same as at present (6–7 °C). An expanded surface temperature range compared to now may reflect withdrawal of oceanic heat supply in conjunction with higher global temperature.","Vignols, R.M.; Valentine, A.M.; Finlayson, A.G.; Harper, E.M.; Schöne, B.R.; Leng, M.J.; Sloane, H.J.; Johnson, A.L.A.",WOS:000496914500006,"Vignols, Rebecca, R.M.",,https://hdl.handle.net/10.1016/j.chemgeo.2018.05.034,,"EUROBIS ackn - indirect use, ""European Oceanographic Biogeographic Information System (EurOBIS) acknowledged"", ""LifeWatch Species Information Backbone"", ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""",,,Pliocene,,Coralline Crag; Paleotemperature; Oxygen isotope thermometry; Uniformitarianism,Journal article,,,"Univ Derby, Sch Environm Sci, Kedleston Rd, Derby DE22 1GB, England.",England,Coralline Crag; Pliocene; Paleotemperature; Oxygen isotope thermometry; Uniformitarianism,NORTH-SEA BASIN; ARCTICA-ISLANDICA; MID-PLIOCENE; TEMPERATURE; OXYGEN; SHELLS; GROWTH; RECONSTRUCTION; FRACTIONATION; DIAGENESIS,Geochemistry & Geophysics,Geochemistry & Geophysics,University of Derby,,UK,,University,Science
4,296469,2018,AS,An upwelling system for culturing common octopus paralarvae and its combined effect with supplying natural zooplankton on paralarval survival and growth,"<b>Dan, S.; Iwasaki, H.; Takasugi, A.; Yamazaki, H.; Hamasaki, K.</b> (2018). An upwelling system for culturing common octopus paralarvae and its combined effect with supplying natural zooplankton on paralarval survival and growth. <i>Aquaculture 495</i>: 98-105. <a href=""https://hdl.handle.net/10.1016/j.aquaculture.2018.05.036"" target=""_blank"">https://hdl.handle.net/10.1016/j.aquaculture.2018.05.036</a>","Despite a growing interest in common octopus for aquaculture, massive mortalities during the planktonic paralarval stage still hamper production. Prior to die-off during rearing trials for paralarvae, it could be observed that the food-capturing paralarvae tended to be carried downward in a current induced by the aeration system, eventually depositing the animals on the tank bottom. The aim of this study was to investigate the effect of upwelling water-flow, that might support paralarval swimming and floating, on paralarval survival and growth. A new artificial upwelling rearing system using a strong downward flow in the center to the bottom of the tank was developed. The effects of the new system in combination with supplying natural zooplankton (mainly decapod crustacean zoeae) or <i>Artemia</i> were evaluated using three different broods hatched from three mothers (broods A, B, and C). As food items for zooplankton, n-3 highly unsaturated fatty acid (n-3 HUFA)-fortified rotifers and digestible microalgae <i>Nannochloropsis oculata</i> were supplemented. The hatchling dry weight was significantly different among broods, showing heavier weight in order of broods  A > C  > B. Use of the upwelling rearing system significantly improved the rate of paralarval survival as compared with using the standard system, and paralarval growth was significantly faster when reared in the upwelling system with zooplankton supplementation. Paralarvae in the upwelling + zooplankton group kept high survival rates over 80% until 18 days after hatching (DAH). The survival rate of the tank of brood A could achieve 80.8% at 20 DAH, however, those of broods B and C dropped to 8.2% and 54.4% at 20 DAH, respectively, presumably due to combined effect of small hatchling size and insufficient food supply. The octopuses of broods A and C reached benthic stage by 25 and 23 DAH, with survival rates of 51.0% and 45.3%, respectively. The overall results suggest that an inadequate water-flow environment in combination with poor food quality and quantity are major causes of paralarval mortality of the common octopus. For culturing paralarvae, the combined use of an upwelling rearing system and supplying decapod crustacean zoeae supplemented with n-3 HUFA fortified rotifers and digestible <i>N. oculata</i> was recommended.","Dan, S.; Iwasaki, H.; Takasugi, A.; Yamazaki, H.; Hamasaki, K.",WOS:000439123500012,"Hamasaki, Katsuyuki, K.",,https://hdl.handle.net/10.1016/j.aquaculture.2018.05.036,,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""",,Octopus vulgaris,,,Common octopus; Paralarval rearing; Mortality causes; Upwelling system; Natural zooplankton; Hatchling size,Journal article,,,"Tokyo Univ Marine Sci & Technol, Dept Marine Biosci, Minato Ku, Tokyo 1088477, Japan.",Japan,Common octopus; Paralarval rearing; Mortality causes; Upwelling system; Natural zooplankton; Hatchling size,FATTY-ACID-COMPOSITION; VULGARIS PARALARVAE; CEPHALOPODA OCTOPODIDAE; REARING SYSTEM; ARTEMIA; CUVIER; LARVAE; ZOEAE; CRAB; DIET,Fisheries; Marine & Freshwater Biology,Fisheries; Marine & Freshwater Biology,Tokyo University of Marine Science and Technology,x,Japan,,University,Science
5,296471,2019,AS,Small-scale species richness of the Great Barrier Reef tanaidaceans—results of the CReefs compared with worldwide diversity of coral reef tanaidaceans,"<b>Stepien, A.; Pabis, K.; Blazewicz, M.</b> (2019). Small-scale species richness of the Great Barrier Reef tanaidaceans—results of the CReefs compared with worldwide diversity of coral reef tanaidaceans. <i>Mar. Biodiv. 49(3)</i>: 1169-1185. <a href=""https://hdl.handle.net/10.1007/s12526-018-0894-5"" target=""_blank"">https://hdl.handle.net/10.1007/s12526-018-0894-5</a>","The Great Barrier Reef (GBR) is considered to be one of the most important marine biodiversity hotspots on Earth. At the same time, knowledge on the smallest inhabitants of this habitat is extremely scarce, which is particularly apparent with respect to small peracarid crustaceans of the order Tanaidacea. Prior to this study, as few as 20 tanaidacean species had been reported from Australian coral reefs, this study yielding 56 species new to science. Our analysis of a high number of qualitative samples collected at two GBR sites (Heron and Lizard Islands) from a depth range of 0 to about 30 m in the framework of the Census of Coral Reef Ecosystem program (one of the Census of Marine Life-related projects) almost doubled the total number of coral reef-associated tanaidacean species known worldwide. Altogether, 60 species (distributed among 7622 individuals) were identified, 46 and 41 species being recorded on Heron and Lizard Islands, respectively. The tanaidaceans were dominated by members of the families Leptocheliidae (8 species and more than half of all specimens at both sites) and Metapseudidae (11 species, 6 and 3% of individuals, respectively). The most speciose genera were <i>Pseudoapseudomorpha</i> (4 species), <i>Paradoxapseudes</i>, <i>Parapseudes</i>, <i>Pugiodactylus</i>, and <i>Zeuxo</i> (3 species each). Most species were rare, their frequency of occurrence in samples not exceeding 15%. The species accumulation curves did not reach the asymptote.","Stepien, A.; Pabis, K.; Blazewicz, M.",WOS:000469762000010,"Pabis, Krzysztof, K.",,https://hdl.handle.net/10.1007/s12526-018-0894-5,,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""",Australia,"Peracarida, ""Tanaidacea""",Coral reefs,,CoML; CReefs; Great Barrier Reef ,Journal article,,,"Univ Lodz, Banacha 12-16, PL-90237 Lodz, Poland.",Poland,Australia; CoML; Coral reefs; CReefs; Great Barrier Reef; Peracarida; Tanaidacea,CRUSTACEA PERACARIDA; DISPERSAL; REGION; GENUS,Biodiversity Conservation; Marine & Freshwater Biology,Biodiversity & Conservation; Marine & Freshwater Biology,University of Lodz,,Poland,,University,Science
6,296472,2018,AS,De novo transcriptome assembly and positive selection analysis of an individual deep-sea fish,"<b>Lan, Y.; Sun, J.; Xu, T.; Chen, C.; Tian, R.; Qiu, J.-W.; Qian, P.-Y.</b> (2018). De novo transcriptome assembly and positive selection analysis of an individual deep-sea fish. <i>BMC Genom. 19(1)</i>: 394. <a href=""https://hdl.handle.net/10.1186/s12864-018-4720-z"" target=""_blank"">https://hdl.handle.net/10.1186/s12864-018-4720-z</a>","High hydrostatic pressure and low temperatures make the deep sea a harsh environment for life forms. Actin organization and microtubules assembly, which are essential for intracellular transport and cell motility, can be disrupted by high hydrostatic pressure. High hydrostatic pressure can also damage DNA. Nucleic acids exposed to low temperatures can form secondary structures that hinder genetic information processing. To study how deep-sea creatures adapt to such a hostile environment, one of the most straightforward ways is to sequence and compare their genes with those of their shallow-water relatives. We captured an individual of the fish species Aldrovandia affinis, which is a typical deep-sea inhabitant, from the Okinawa Trough at a depth of 1550&amp;nbsp;m using a remotely operated vehicle (ROV). We sequenced its transcriptome and analyzed its molecular adaptation. We obtained 27,633 protein coding sequences using an Illumina platform and compared them with those of several shallow-water fish species. Analysis of 4918 single-copy orthologs identified 138 positively selected genes in A. affinis, including genes involved in microtubule regulation. Particularly, functional domains related to cold shock as well as DNA repair are exposed to positive selection pressure in both deep-sea fish and hadal amphipod. Overall, we have identified a set of positively selected genes related to cytoskeleton structures, DNA repair and genetic information processing, which shed light on molecular adaptation to the deep sea. These results suggest that amino acid substitutions of these positively selected genes may contribute crucially to the adaptation of deep-sea animals. Additionally, we provide a high-quality transcriptome of a deep-sea fish for future deep-sea studies.","Lan, Y.; Sun, J.; Xu, T.; Chen, C.; Tian, R.; Qiu, J.-W.; Qian, P.-Y.",WOS:000433330800004,"Sun, Jin, J.",,https://hdl.handle.net/10.1186/s12864-018-4720-z,,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""",,,,,Positive selection; High hydrostatic pressure; Cold shock; Cytoskeleton; Microtubule,Journal article,,,"Hong Kong Univ Sci & Technol, Div Life Sci, Kowloon, Hong Kong, Peoples R China.",Peoples R China,Positive selection; High hydrostatic pressure; Cold shock; Cytoskeleton; Microtubule,HIGH HYDROSTATIC-PRESSURE; COLD-SHOCK; MOLECULAR ADAPTATION; GENOME DUPLICATION; LOW-TEMPERATURE; IN-VIVO; MICROTUBULE; PROTEINS; ANNOTATION; ACTIN,Biotechnology & Applied Microbiology; Genetics & Heredity,Biotechnology & Applied Microbiology; Genetics & Heredity,Hong Kong University of Science and Technology,,China,,University,Science
7,296473,2018,AS,"Diversity of <i>Potamolithus</i> (Littorinimorpha, Truncatelloidea) in a high-diversity spot for troglobites in southeastern Brazil: role of habitat fragmentation in the origin of subterranean fauna, and conservation status","<b>Bichuette, M.E.; Trajano, E.</b> (2018). Diversity of <i>Potamolithus</i> (Littorinimorpha, Truncatelloidea) in a high-diversity spot for troglobites in southeastern Brazil: role of habitat fragmentation in the origin of subterranean fauna, and conservation status. <i>Subterranean Biology 25</i>: 61-88. <a href=""https://hdl.handle.net/10.3897/subtbiol.25.23778"" target=""_blank"">https://hdl.handle.net/10.3897/subtbiol.25.23778</a>","The Alto Ribeira karst area, southeastern Brazil, is a high-diversity area for troglobites. Three species of freshwater gastropods Potamolithus occur in the area: P. ribeirensis, only found in epigean waters at the Iporanga and Ribeira rivers; P. troglobius, which is endemic to the Areias cave system; and P. karsticus, a troglophilic species from Calcário Branco Cave and an epigean stream nearby. We investigated their distribution based on shell morphology and internal anatomy of epigean species, troglophilic populations, and troglobitic species. Distribution patterns of Potamolithus were compared to those of other aquatic taxa from the region (such as crustaceans and fishes). Besides the three species already described for the region, we recorded 12 additional ones, for a total of 15 species/morphs (six troglobites, seven troglophiles, and two epigean). Potamolithus spp. are restricted to micro-basins and/or caves, showing small areas of distribution and probably a high degree of endemism. Geomorphology (irregular landscape, with limestone outcrops intercalated with insoluble rocks, which probably act as geographic barriers for cave populations), paleoclimatic evidence, and ecological/biological factors, such as the low degree of mobility of these gastropods (sedentary habit), explain the distributional patterns. We observed troglomorphisms such as reduction/absence of eyes and pigmentation (body and periostracum), and a coiled intestine. Apparently, there is no cause-and-effect between miniaturization and intestine coiling for Potamolithus, in contrast to observations for other cave snails. Potamolithus snails are threatened in the region due to water pollution, uncontrolled tourism, and overcollection.","Bichuette, M.E.; Trajano, E.",WOS:000432777900001,"Bichuette, Maria Elina, M.E.",,https://hdl.handle.net/10.3897/subtbiol.25.23778,,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""",,"Caenogastropoda, ""Potamolithus""","Caves, ""Distribution""",,Neotropical region; Potamolithus,Journal article,,,"Univ Fed Sao Carlos, Dept Ecol & Biol Evolut, Lab Estudos Subterraneos, Via Washington Luis,Km 235,Caixa Postal 676, BR-13565905 Sao Carlos, SP, Brazil.",Brazil,,,Biology; Zoology,Life Sciences & Biomedicine - Other Topics; Zoology,UFSCar - Federal University of São Carlos - Department of Ecology and Biological evolution,,Brazil,,University,Science
8,296475,2018,AS,"Polyclinidae (Ascidiacea: Aplousobranchia) from the Gulf of Mexico, collected during the “Hourglass” cruises (1965–1967)","<b>Fortaleza, M.T.V.; Lotufo, T.M.C.</b> (2018). Polyclinidae (Ascidiacea: Aplousobranchia) from the Gulf of Mexico, collected during the “Hourglass” cruises (1965–1967). <i>Zootaxa 4422(4)</i>: 519-536. <a href=""https://hdl.handle.net/10.11646/zootaxa.4422.4.4"" target=""_blank"">https://hdl.handle.net/10.11646/zootaxa.4422.4.4</a>","This paper presents the ascidians from the Family Polyclinidae collected in the Gulf of Mexico during the Hourglass Cruises between August 1965 and November 1967. The analysis of the collected material revealed the presence of eight polyclinid ascidians from three different genera, with two new species and two new records for the Gulf of Mexico.","Fortaleza, M.T.V.; Lotufo, T.M.C.",WOS:000433099400004,"Fortaleza, Maria Tarciana Vieira, M.T.V.",,https://hdl.handle.net/10.11646/zootaxa.4422.4.4,,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""",,"Aplidium, ""Aplidium hourglassum"", ""Ascidiacea"", ""Polyclinum campi"", ""Tunicata""",Taxonomy,,Aplidium hourglassum; Polyclinum campi,Journal article,,,"Univ Sao Paulo, Inst Oceanog, Lab Biol Recifal, Praca Oceanog 191,Cidade Univ, BR-05508120 Sao Paulo, SP, Brazil.",Brazil,Ascidiacea; Tunicata; taxonomy; Aplidium hourglassum; Polyclinum campi,,Zoology,Zoology,University of São Paulo (USP) - Institute of Oceanography,,Brazil,,University,Science
9,296476,2018,AS,"Diversity and preserved shell coloration patterns of Miocene Conidae (Neogastropoda) from an exposure of the Gatun Formation, Colón Province, Panama","<b>Hendricks, J.R.</b> (2018). Diversity and preserved shell coloration patterns of Miocene Conidae (Neogastropoda) from an exposure of the Gatun Formation, Colón Province, Panama. <i>J. Paleontol. 92(5)</i>: 804-837. <a href=""https://hdl.handle.net/10.1017/jpa.2017.153"" target=""_blank"">https://hdl.handle.net/10.1017/jpa.2017.153</a>","Extant members of the neogastropod family Conidae (cone snails) are renowned for their often dazzling shell coloration patterns and venomous feeding habits. Many cone snail species have also been described from the fossil record, but to date have been little used to understand the evolutionary history of extant clades. The cone snail fauna of the Miocene Gatun Formation of Colón Province, Panama is especially important for understanding the temporal and biogeographic history of tropical American Conidae. Intensive, focused collecting from an exposure of the lower Gatun Formation (deposited ca. 11–10 Ma) resulted in the discovery of nearly 900 specimens of Conidae. Remarkably, many of these well-preserved specimens exhibit revealed coloration patterns when exposed to ultraviolet light. The fluorescing coloration patterns were used in conjunction with other features of shell morphology to differentiate species and, in most cases, evaluate their potential relationships to members of the extant tropical American fauna. Nine species are fully described from this locality, one of which is recognized as new: <i>Conus (Stephanoconus) woodringi n</i>. sp. At least one, and perhaps more, additional Conidae species are also present at the study locality. The diversity of this Conidae fauna is considered moderate relative to other recently analyzed tropical American fossil assemblages. The phylogenetic diversity of the assemblage, however, is noteworthy: six of the ten species can be confidently assigned to six different clades of extant Conidae, providing potentially useful calibration points for future phylogenetic studies.","Hendricks, J.R.",WOS:000444390300004,"Hendricks, Jonathan, J.R.",,https://hdl.handle.net/10.1017/jpa.2017.153,,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""",,,,,,Journal article,,,"Ohio Univ, Dept Geol Sci, Athens, OH 45701 USA.",USA,,VENOMOUS MARINE GASTROPODS; CONE SNAILS; GENUS CONUS; EVOLUTION; MOLLUSCA; PALEOBIOGEOGRAPHY; SYSTEMATICS; VENEZUELA; RADULA,Paleontology,Paleontology,Ohio University,,USA,,University,Science
