"","X","Unnamed..0","BrefID","Year","BibLvlCode","StandardTitle","RefStrFull","AbstractEnglish","Refstringauthors","WoScode","FullAut","Affiliation","DOI","ownDOI","spcolNames","GeoTerms","TaxTerms","ThesTerms","OtherTerms","AuthorKeywords","DocType","LitStyles","ThesisDegree","wos_affil","wos_country","wos_keywords","wos_plus_keywords","wos_categories","wos_researcharea","stand_affil","similarity_method","stand_country","stand_flemish","stand_GROUP","stand_QH","result_status","result"
"1",1,1,213296,2012,"AMS","How many known species in the Ocean and in WoRMS?","<b>Appeltans, W.; Costello, M.J.; Decock, W.; Vanhoorne, B.; Deneudt, K.; Hernandez, F.</b> (2012). How many known species in the Ocean and in WoRMS?, <b><i>in</i></b>: Mees, J. <i>et al.</i> (Ed.) <i>Book of abstracts - VLIZ Young Marine Scientists' Day. Brugge, Belgium, 24 February 2012. VLIZ Special Publication,</i> 55: pp. 11","","Appeltans, W.; Costello, M.J.; Decock, W.; Vanhoorne, B.; Deneudt, K.; Hernandez, F.","","Appeltans, Ward, W.","Flanders Marine Institute (VLIZ)","","","LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""","","","","","","Book chapters","Summary","","","","","","","","VLIZ Flanders Marine Institute","","Belgium","x","Research institute","Science","OK","{}"
"2",2,2,213337,2012,"AMS","Talking to the WoRMS: what can VLIZ web services do for you?","<b>Deneudt, K.; Vanhoorne, B.; Appeltans, W.; Hernandez, F.</b> (2012). Talking to the WoRMS: what can VLIZ web services do for you?, <b><i>in</i></b>: Mees, J. <i>et al.</i> (Ed.) <i>Book of abstracts - VLIZ Young Marine Scientists' Day. Brugge, Belgium, 24 February 2012. VLIZ Special Publication,</i> 55: pp. 23","","Deneudt, K.; Vanhoorne, B.; Appeltans, W.; Hernandez, F.","","Vanhoorne, Bart, B.","Flanders Marine Institute (VLIZ)","","","LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""","","","","","","Book chapters","Summary","","","","","","","","VLIZ Flanders Marine Institute","","Belgium","x","Research institute","Science","OK","{}"
"3",10,10,216092,2012,"AS","Potential changes in benthic macrofaunal distributions from the English Channel simulated under climate change scenarios","<b>Rombouts, I.; Beaugrand, G.; Dauvin, J.C.</b> (2012). Potential changes in benthic macrofaunal distributions from the English Channel simulated under climate change scenarios. <i>Est., Coast. and Shelf Sci. 99(1)</i>: 153-161. <a href=""https://dx.doi.org/10.1016/j.ecss.2011.12.026"" target=""_blank"">https://dx.doi.org/10.1016/j.ecss.2011.12.026</a>","Climate-induced changes in the distribution of species are likely to affect the functioning and diversity of marine ecosystems. Therefore, in economic and ecological important areas, such as the English Channel, projections of the future distributions of key species under changing environmental conditions are urgently needed. Ecological Niche Models (ENMs) have been applied successfully to determine potential distributions of species based on the information of the environmental niche of a species (<em>sensu</em> Hutchinson). In this study, the niches of two commercially exploited benthic species, <em>Pecten maximus</em> and <em>Glycymeris glycymeris</em>, and two ecologically important species, <em>Abra alba</em> and <em>Ophelia borealis</em> were derived using four contemporary hydrographic variables, i.e. sea surface temperature, sea surface salinity, water depth and sediment type. Consequently, using these ecological envelopes, the Non-Parametric Probalistic Ecological Niche model (NPPEN) was applied to calculate contemporary probabilities of occurrence for each species in the North East Atlantic and to predict potential re-distributions under the climate change scenario A2 for two time periods 2050â€“2059 and 2090â€“2099. Results show general northern displacements of the four benthic species from the English Channel into the North Sea and southern Norwegian coast. The projections mostly indicate a reduction of suitable habitat for benthic species with a notable disappearance of their distributions in the English Channel, except for <em>A.</em>Â <em>alba</em>. However, interpretations should be treated with caution since many uncertainties and assumptions are attached to ecological niche models in general. Furthermore, opening up potential habitats for benthic species does not necessarily imply that the species will actually occupy these sites in the future. The displacement and colonisation success of species are a function of many other non-climatic factors such as species life histories, dispersal abilities, adaptability and community interactions.","Rombouts, I.; Beaugrand, G.; Dauvin, J.C.","WOS:000302448300015","Rombouts, Isabelle, I.","Univ Sci Technol Lille Lille 1, CNRS, Lab Oceanol & Geosci, UMR CNRS LOG 8187, F-62930 Wimereux, France.","https://dx.doi.org/10.1016/j.ecss.2011.12.026","","EUROBIS ackn - indirect use, ""European Oceanographic Biogeographic Information System (EurOBIS) acknowledged"", ""LifeWatch Species Information Backbone""","English Channel","","Climatic changes, ""Ecological niches"", ""Modelling""","","Benthic macrofauna","Journal article","","","Univ Sci Technol Lille Lille 1, CNRS, Lab Oceanol & Geosci, UMR CNRS LOG 8187, 28 Ave Foch, F-62930 Wimereux, France.","France","benthic macrofauna; English Channel; ecological niche; Non-Parametric Probalistic Ecological Niche; model; climate change scenarios; CHARM","HABITAT-SUITABILITY; SAMPLE-SIZE; MODELS; NICHE; TEMPERATURE; DIVERSITY; ENVELOPE; IMPACTS; BRITAIN; AREA","Marine & Freshwater Biology; Oceanography","Marine & Freshwater Biology; Oceanography","Joint Research Unit: Laboratory for Oceanology and Geosciences (LOG) (UMR 8187)","","France","","Research network","Science","OK","{'SDG_13': 2.0, 'SDG_14': 2.0, 'SDG_6': 1.0}"
"4",15,15,217433,2012,"M","Best practice guidelines in the development and maintenance of regional marine species checklists","<b>NozÃ¨res, C.; Vandepitte, L.; Appeltans, W.; Kennedy, M.</b> (2012). Best practice guidelines in the development and maintenance of regional marine species checklists. version 1.0, released on August 2012. Global Biodiversity Information Facility: Copenhagen. ISBN 978-87-92020-46-8. 27 pp.","","NozÃ¨res, C.; Vandepitte, L.; Appeltans, W.; Kennedy, M.","","Appeltans, Ward, W.","IOC Project Office for IODE","","","EUROBIS ackn - indirect use, ""European Oceanographic Biogeographic Information System (EurOBIS) acknowledged"", ""Interim Register of Marine and Nonmarine Genera (IRMNG) acknowledged"", ""LifeWatch Species Information Backbone"", ""Marine Regions acknowledged"", ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""","","","Biodiversity, ""Biological data"", ""Checklists""","","species checklists","Book/Monograph","","","","","","","","","UNESCO - IOC Project Office - IODE (International Oceanographic Data and Information Exchange)","","Global","","International programme","Science","OK","{}"
"5",17,17,217736,2012,"MS","Niet-inheemse soorten van het Belgisch deel van de Noordzee en aanpalende estuaria","<b>Vandepitte, L.; De Pooter, D.; Lescrauwaet, A.-K.; Fockedey, N.; Mees, J. (Ed.)</b> (2012). Niet-inheemse soorten van het Belgisch deel van de Noordzee en aanpalende estuaria. <i>VLIZ Special Publication</i>, 59. Vlaams Instituut voor de Zee (VLIZ): Oostende. ISBN 978-90-817451-9-2. 371 pp.","","Vandepitte, L.; De Pooter, D.; Lescrauwaet, A.-K.; Fockedey, N.; Mees, J. (Ed.)","","Mees, Jan, J.","Flanders Marine Institute (VLIZ)","","","LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""","Belgium","","Invasive species","","","Book/Monograph","","","","","","","","","VLIZ Flanders Marine Institute","","Belgium","x","Research institute","Science","OK","{}"
"6",30,30,220199,2012,"AS","The magnitude of global marine species diversity","<b>Appeltans, W.; Ahyong, S.T.; Anderson, G.; Angel, M.V.; Artois, T.; Bailly, N.; Bamber, R.N.; Barber, A.; Bartsch, I.; Berta, A.; Blazewicz-Paszkowycz , M.; Bock, P.; Boxshall, G.; Boyko, C.B.; Nunes BrandÃ£o, S.; Bray, R.A.; Bruce, N.L.; Cairns, S.D.; Chan, T.-Y.; Cheng, L.; Collins, A.G.; Cribb, T.H.; Curini-Galletti, M.; Dahdouh-Guebas, F.; Davie, P.J.F.; Dawson, M.N.; De Clerck, O.; Decock, W.; De Grave, S.; de Voogd, N.J.; Domning, D.P.; Emig, C.C.; ErsÃ©us, Ch.; Eschmeyer, W.; Fauchald, K.; Fautin, D.G.; Feist, S.W.; Fransen, C.H.J.M.; Furuya, H.; GarcÃ­a-Alvarez, O.; Gerken, S.; Gibson, D.; Gittenberger, A.; Gofas, S.; GÃ³mez-Daglio, L.; Gordon, D.P.; Guiry, M.D.; Hernandez, F.; Hoeksema, B.W.; Hopcroft, R.R.; Jaume, D.; Kirk, P.; Koedam, N.; Koenemann, S.; Kolb, J.B.; Kristensen, R.M.; Kroh, A.; Lambert, G.; Lazarus, D.B.; Lemaitre, R.; Longshaw, M.; Lowry, J.; MacPherson, E.; Madin, L.P.; Mah, C.; Mapstone, G.; McLaughlin, P.A.; Mees, J.; Meland, K.; Messing, C.G.; Mills, C.E.; Molodtsova, T.N.; Mooi, R.; Neuhaus, B.; Ng, P.K.L.; Nielsen, C.; Norenburg, J.; Opresko, D.M.; Osawa, M.; Paulay, G.; Perrin, W.; Pilger, J.F.; Poore, G.C.B.; Pugh, Ph.R.; Read, G.B.; Reimer, J.D.; Rius, M.; Rocha, R.M.; SÃ¡iz Salinas, J.I.; Scarabino, V.; Schierwater, B.; Schmidt-Rhaesa, A.; Schnabel, K.E.; Schotte, M.; Schuchert, P.; Schwabe, E.; Segers, H.; Self-Sullivan, C.; Shenkar, N.; Siegel, V.; Sterrer, W.; StÃ¶hr, S.; Swalla, B.; Tasker, M.L.; Thuesen, E.V.; Timm, T.; Todaro, M.A.; Turon, X.; Tyler, S.; Uetz, P.; van der Land, J.; Vanhoorne, B.; van Ofwegen, L.P.; Van Soest, R.W.M.; Vanaverbeke, J.; Walker-Smith, G.K.; Walter, T.C.; Warren, A.; Williams, G.C.; Wilson, S.P.; Costello, M.J.</b> (2012). The magnitude of global marine species diversity. <i>Curr. Biol. 22(23)</i>: 2189-2202. <a href=""http://hdl.handle.net/10.1016/j.cub.2012.09.036"" target=""_blank"">hdl.handle.net/10.1016/j.cub.2012.09.036</a>","Background: The question of how many marine species exist is important because it provides a metric for how much we do and do not know about life in the oceans. We have compiled the first register of the marine species of the world and used this baseline to estimate how many more species, partitioned among all major eukaryotic groups, may be discoveredResults: There are ~226,000 eukaryotic marine species described. More species were described in the past decade (~20,000) than in any previous one. The number of authors describing new species has been increasing at a faster rate than the number of new species described in the past six decades. We report that there are ~170,000 synonyms, that 58,000â€“72,000 species are collected but not yet described, and that 482,000â€“741,000 more species have yet to be sampled. Molecular methods may add tens of thousands of cryptic species. Thus, there may be 0.7â€“1.0 million marine species. Past rates of description of new species indicate there may be 0.5 Â± 0.2 million marine species. On average 37% (median 31%) of species in over 100 recent field studies around the world might be new to science.Conclusions: Currently, between one-third and two-thirds of marine species may be undescribed, and previous estimates of there being well over one million marine species appear highly unlikely. More species than ever before are being described annually by an increasing number of authors. If the current trend continues, most species will be discovered this century.","Appeltans, W.; Ahyong, S.T.; Anderson, G.; Angel, M.V.; Artois, T.; Bailly, N.; Bamber, R.N.; Barber, A.; Bartsch, I.; Berta, A.; Blazewicz-Paszkowycz , M.; Bock, P.; Boxshall, G.; Boyko, C.B.; Nunes BrandÃ£o, S.; Bray, R.A.; Bruce, N.L.; Cairns, S.D.; Chan, T.-Y.; Cheng, L.; Collins, A.G.; Cribb, T.H.; Curini-Galletti, M.; Dahdouh-Guebas, F.; Davie, P.J.F.; Dawson, M.N.; De Clerck, O.; Decock, W.; De Grave, S.; de Voogd, N.J.; Domning, D.P.; Emig, C.C.; ErsÃ©us, Ch.; Eschmeyer, W.; Fauchald, K.; Fautin, D.G.; Feist, S.W.; Fransen, C.H.J.M.; Furuya, H.; GarcÃ­a-Alvarez, O.; Gerken, S.; Gibson, D.; Gittenberger, A.; Gofas, S.; GÃ³mez-Daglio, L.; Gordon, D.P.; Guiry, M.D.; Hernandez, F.; Hoeksema, B.W.; Hopcroft, R.R.; Jaume, D.; Kirk, P.; Koedam, N.; Koenemann, S.; Kolb, J.B.; Kristensen, R.M.; Kroh, A.; Lambert, G.; Lazarus, D.B.; Lemaitre, R.; Longshaw, M.; Lowry, J.; MacPherson, E.; Madin, L.P.; Mah, C.; Mapstone, G.; McLaughlin, P.A.; Mees, J.; Meland, K.; Messing, C.G.; Mills, C.E.; Molodtsova, T.N.; Mooi, R.; Neuhaus, B.; Ng, P.K.L.; Nielsen, C.; Norenburg, J.; Opresko, D.M.; Osawa, M.; Paulay, G.; Perrin, W.; Pilger, J.F.; Poore, G.C.B.; Pugh, Ph.R.; Read, G.B.; Reimer, J.D.; Rius, M.; Rocha, R.M.; SÃ¡iz Salinas, J.I.; Scarabino, V.; Schierwater, B.; Schmidt-Rhaesa, A.; Schnabel, K.E.; Schotte, M.; Schuchert, P.; Schwabe, E.; Segers, H.; Self-Sullivan, C.; Shenkar, N.; Siegel, V.; Sterrer, W.; StÃ¶hr, S.; Swalla, B.; Tasker, M.L.; Thuesen, E.V.; Timm, T.; Todaro, M.A.; Turon, X.; Tyler, S.; Uetz, P.; van der Land, J.; Vanhoorne, B.; van Ofwegen, L.P.; Van Soest, R.W.M.; Vanaverbeke, J.; Walker-Smith, G.K.; Walter, T.C.; Warren, A.; Williams, G.C.; Wilson, S.P.; Costello, M.J.","WOS:000312115300015","Costello, Mark, M.J.","","http://hdl.handle.net/10.1016/j.cub.2012.09.036","","LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""","Global","","Species diversity","","","Journal article","","","Flanders Marine Inst, Flemish Marine Data & Informat Ctr, B-8400 Oostende, Belgium.","Belgium","","RICHNESS; FUTURE; BIODIVERSITY; TAXONOMY; RATES","Biochemistry & Molecular Biology; Biology; Cell Biology","Biochemistry & Molecular Biology; Life Sciences & Biomedicine - Other Topics; Cell Biology","VLIZ Flanders Marine Institute","x","Belgium","x","Research institute","Science","OK","{}"
"7",36,36,221925,2013,"AS","Global coordination and standardisation in marine biodiversity through the World Register of Marine Species (WoRMS) and related databases","<b>Costello, M.J.; Bouchet, P.; Boxshall, G.; Fauchald, K.; Gordon, D.; Hoeksema, B.W.; Poore, G.C.B.; Van Soest, R.W.M.; StÃ¶hr, S.; Walter, T.C.; Vanhoorne, B.; Decock, W.; Appeltans, W.</b> (2013). Global coordination and standardisation in marine biodiversity through the World Register of Marine Species (WoRMS) and related databases. <i>PLoS One 8(1)</i>: 20 pp. <a href=""https://hdl.handle.net/10.1371/journal.pone.0051629"" target=""_blank"">https://hdl.handle.net/10.1371/journal.pone.0051629</a>","The World Register of Marine Species is an over 90% complete open-access inventory of all marine species names. Here we illustrate the scale of the problems with species names, synonyms, and their classification, and describe how WoRMS publishes online quality assured information on marine species.Within WoRMS, over 100 global, 12 regional and 4 thematic species databases are integrated with a common taxonomy. Over 240 editors from 133 institutions and 31 countries manage the content. To avoid duplication of effort, content is exchanged with 10 external databases. At present WoRMS contains 460,000 taxonomic names (from Kingdom to subspecies), 368,000 species level combinations of which 215,000 are currently accepted marine species names, and 26,000 related but non-marine species. Associated information includes 150,000 literature sources, 20,000 images, and locations of 44,000 specimens. Usage has grown linearly since its launch in 2007, with about 600,000 unique visitors to the website in 2011, and at least 90 organisations from 12 countries using WoRMS for their data management.By providing easy access to expert-validated content, WoRMS improves quality control in the use of species names, with consequent benefits to taxonomy, ecology, conservation and marine biodiversity research and management. The service manages information on species names that would otherwise be overly costly for individuals, and thus minimises errors in the application of nomenclature standards. WoRMS' content is expanding to include host-parasite relationships, additional literature sources, locations of specimens, images, distribution range, ecological, and biological data. Species are being categorised as introduced (alien, invasive), of conservation importance, and on other attributes. These developments have a multiplier effect on its potential as a resource for biodiversity research and management. As a consequence of WoRMS, we are witnessing improved communication within the scientific community, and anticipate increased taxonomic efficiency and quality control in marine biodiversity research and management.","Costello, M.J.; Bouchet, P.; Boxshall, G.; Fauchald, K.; Gordon, D.; Hoeksema, B.W.; Poore, G.C.B.; Van Soest, R.W.M.; StÃ¶hr, S.; Walter, T.C.; Vanhoorne, B.; Decock, W.; Appeltans, W.","WOS:000313551500006","Gordon, Dennis, D.","","https://hdl.handle.net/10.1371/journal.pone.0051629","","European Oceanographic Biogeographic Information System (EurOBIS) acknowledged, ""Interim Register of Marine and Nonmarine Genera (IRMNG) acknowledged"", ""LifeWatch Species Information Backbone"", ""Marine Regions acknowledged"", ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""","","","Biodiversity, ""Databases"", ""Standardization"", ""Taxonomy""","","","Journal article","","","Univ Auckland, Leigh Marine Lab, Auckland 1, New Zealand.","New Zealand","","CLIMATE-CHANGE; TAXONOMY; COLLECTIONS; INFORMATION; CONSERVATION; PUBLICATION; RICHNESS; IMPACT; OCEAN; RATES","Multidisciplinary Sciences","Science & Technology - Other Topics","University of Auckland - Leigh Marine Laboratory","x","New Zealand","","Research institute","Science","OK","{'SDG_14': 4.0, 'SDG_11': 1.0}"
"8",42,42,222812,2013,"AMS","EurOBIS as biogeographic data system for the European Marine Observation and Data Network (EMODnet)","<b>Claus, S.; Vandepitte, L.; Waumans, F.; Vanhoorne, B.; Hernandez, F.</b> (2013). EurOBIS as biogeographic data system for the European Marine Observation and Data Network (EMODnet), <b><i>in</i></b>: Mees, J. <i>et al.</i> (Ed.) <i>Book of abstracts â€“ VLIZ Young Marine Scientists' Day. Brugge, Belgium, 15 February 2013. VLIZ Special Publication,</i> 63: pp. 25","","Claus, S.; Vandepitte, L.; Waumans, F.; Vanhoorne, B.; Hernandez, F.","","Vanhoorne, Bart, B.","Flanders Marine Institute","","","EUROBIS ackn - indirect use, ""European Oceanographic Biogeographic Information System (EurOBIS) acknowledged"", ""Lifewatch acknowledged"", ""LifeWatch Species Information Backbone""","","","","","","Book chapters","Summary","","","","","","","","VLIZ Flanders Marine Institute","","Belgium","x","Research institute","Science","OK","{}"
"9",43,43,222830,2013,"AMS","The Flemish contributions to LifeWatch","<b>Dekeyzer, S.; Deneudt, K.; Vandepitte, L.; Goffin, A.; Claus, S.; Hernandez, F.</b> (2013). The Flemish contributions to LifeWatch, <b><i>in</i></b>: Mees, J. <i>et al.</i> (Ed.) <i>Book of abstracts â€“ VLIZ Young Marine Scientists' Day. Brugge, Belgium, 15 February 2013. VLIZ Special Publication,</i> 63: pp. 38","","Dekeyzer, S.; Deneudt, K.; Vandepitte, L.; Goffin, A.; Claus, S.; Hernandez, F.","","Hernandez, Francisco, F.","Flanders Marine Institute (VLIZ)","","","Lifewatch acknowledged, ""LifeWatch Marine Data Archeology"", ""LifeWatch Observatory""","","","","","","Book chapters","Summary","","","","","","","","VLIZ Flanders Marine Institute","","Belgium","x","Research institute","Science","OK","{}"
"10",45,45,222908,2013,"AMS","Acoustically tagging Atlantic cod - the silver bullet to investigate behaviour?","<b>Reubens, J.; Degraer, S.; Vincx, M.</b> (2013). Acoustically tagging Atlantic cod - the silver bullet to investigate behaviour?, <b><i>in</i></b>: Mees, J. <i>et al.</i> (Ed.) <i>Book of abstracts â€“ VLIZ Young Marine Scientists' Day. Brugge, Belgium, 15 February 2013. VLIZ Special Publication,</i> 63: pp. 80","","Reubens, J.; Degraer, S.; Vincx, M.","","Vincx, Magda, M.","Marine Biology Research Group, Faculty of Sciences, Ghent University","","","Lifewatch acknowledged, ""LifeWatch Observatory""","","","","","","Book chapters","Summary","","","","","","","","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)","","Belgium","x","Research institute","Science","OK","{}"
