,BrefID,SortDate,BibLvlCode,StandardTitle,RefStrFull,AbstractEnglish,Refstringauthors,WoScode,FullAut,Affiliation,DOI,ownDOI,spcolNames,GeoTerms,TaxTerms,ThesTerms,OtherTerms,AuthorKeywords,DocType,LitStyles,ThesisDegree,wos_affil,wos_country,wos_keywords,wos_plus_keywords,wos_categories,wos_researcharea,stand_affil,similarity_method,stand_country,stand_flemish,stand_GROUP,stand_QH
0,287757,2015,AS,Ecological zonation of benthic foraminifera in the lower Guadiana Estuary (southeastern Portugal),"<b>Camacho, S.; Moura, D.; Connor, S.; Scott, D.; Boski, T.</b> (2015). Ecological zonation of benthic foraminifera in the lower Guadiana Estuary (southeastern Portugal). <i>Mar. Micropaleontol. 114</i>: 1-18. <a href=""https://hdl.handle.net/10.1016/j.marmicro.2014.10.004"" target=""_blank"">https://hdl.handle.net/10.1016/j.marmicro.2014.10.004</a>","The present study analyzes the spatial distribution and seasonal distribution of live benthic foraminiferal communities in the estuary of Guadiana, the fourth largest river on the Iberian Peninsula, and establishes, through statistical analysis, their relationships with a series of environmental parameters. Forty-four superficial sediment samples were collected along distance-to-sea and elevation gradients in the winter and summer of 2010. Fifty-three foraminifera species were identified along the intertidal margins of the estuary. Foraminiferal distribution reflected seasonal variation of environmental factors, whose relative importance varied according to species tolerances. Elevation in relation to mean sea level appeared to be the most important parameter controlling foraminiferal distribution, probably because it combines the effects of a series of other variables (i.e. organic matter, sediment texture, pH and temperature). In the highest marsh areas, where environmental conditions approach survival thresholds, only some agglutinated species are able to survive. In the lower intertidal zone, where subaerial exposure is diminished and environmental conditions are generally less variable, more diverse faunas, mainly composed of calcareous species, prevail. During winter, when fluvial discharge peaks, agglutinated species represent more than 80% of the total individuals. In summer, when marine conditions prevail, calcareous species become more competitive, increase their densities and expand into higher marsh zones and estuarine upper reaches.In the estuary, three different foraminiferal assemblages are distinguished: i) <i>Miliammina fusca</i> assemblage, which dominates in unvegetated areas of the lower marsh and tidal flats of the mid-upper estuary; ii) <i>Jadammina macrescens</i> assemblage, which dominates in the highest marsh areas in the lower estuary; and iii) <i>Ammonia aberdoveyensis</i> assemblage, which dominates the areas of low marsh and tidal flats of the lower estuary.","Camacho, S.; Moura, D.; Connor, S.; Scott, D.; Boski, T.",WOS:000350185100001,"Camacho, Sarita, S.",,https://hdl.handle.net/10.1016/j.marmicro.2014.10.004,,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""",,Foraminifera,,,"Guadiana Estuary, Foraminifera, Seasonal distribution, Elevation, Bio-indicators",Journal article,,,"Univ Algarve, CIMA, Fac Ciencias & Tecnol, Campus Gambelas, P-8005139 Faro, Portugal.",Portugal,Guadiana Estuary; Foraminifera; Seasonal distribution; Elevation; Bio-indicators,SEA-LEVEL RISE; SALT-MARSH FORAMINIFERA; GREAT-MARSHES; SW-EUROPE; ASSEMBLAGES; DISTRIBUTIONS; POPULATIONS; EVOLUTION; SALINITY; SPAIN,Paleontology,Paleontology,University of Algarve - Faculty of Sciences and Technology - CIMA (Ctr Environm & Marine Res),x,,,,
1,287758,2013,AS,The application of a Biopollution Index in German Baltic estuarine and lagoon waters,"<b>Wittfoth, A.K.J.; Zettler, M.L.</b> (2013). The application of a Biopollution Index in German Baltic estuarine and lagoon waters. <i>Manag. Biol. Inv. 4(1)</i>: 43-50. <a href=""https://hdl.handle.net/10.3391/mbi.2013.4.1.06"" target=""_blank"">https://hdl.handle.net/10.3391/mbi.2013.4.1.06</a>","This paper assesses the status of three German Baltic estuarine and lagoon waters with respect to invasive species (macrozoobenthos) and their impact. A Biological Pollution Index was applied and evaluated. Overall 130 macrozoobenthic species were identified, 17 of which were aquatic alien species. The Szczecin Lagoon had the highest number of invasive species (13). Most species were of Pontocaspian origin; inland waterways are likely to play a significant role in their migration. According to the Biological Pollution Index Level (BPL) this lagoon was ‘moderately influenced’ by invasive species. Warnow Estuary had 11 invasive species; their origin noted generally from North-America, suggesting shipping traffic as the major distribution vector; invasive species had the same BPL as in the Szczecin Lagoon. In the Darß Zingst Bodden Chain only 6 invasive species were observed, having the highest relative abundance (9-71%). Furthermore, this area had the highest BPL of all three areas, i.e. a strong negative impact. The BPL required a lot of data (including historical) and some ratings were subjective and comparisons with other areas assessed were difficult and often impossible. Due to these limitations, it is suggested that the BPL should only be used with restrictions as a universal assessment tool for invasive species in the estuarine and lagoon waters of the Baltic Sea. ","Wittfoth, A.K.J.; Zettler, M.L.",,"Zettler, Michael, M.L.",,https://hdl.handle.net/10.3391/mbi.2013.4.1.06,,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""",,,,,,Journal article,,,,,,,,,,,,,,
2,287759,2014,AS,"Trematodes of the Great Barrier Reef, Australia: emerging patterns of diversity and richness in coral reef fishes","<b>Cribb, T.H.; Bott, N.J.; Bray, R.A.; McNamara, M.K.A.; Miller, T.L.; Nolan, M.J.; Cutmore, S.C.</b> (2014). Trematodes of the Great Barrier Reef, Australia: emerging patterns of diversity and richness in coral reef fishes. <i>Int. J. Parasitol. 44(12)</i>: 929-939. <a href=""https://hdl.handle.net/10.1016/j.ijpara.2014.08.002"" target=""_blank"">https://hdl.handle.net/10.1016/j.ijpara.2014.08.002</a>","The Great Barrier Reef holds the richest array of marine life found anywhere in Australia, including a diverse and fascinating parasite fauna. Members of one group, the trematodes, occur as sexually mature adult worms in almost all Great Barrier Reef bony fish species. Although the first reports of these parasites were made 100 years ago, the fauna has been studied systematically for only the last 25 years. When the fauna was last reviewed in 1994 there were 94 species known from the Great Barrier Reef and it was predicted that there might be 2,270 in total. There are now 326 species reported for the region, suggesting that we are in a much improved position to make an accurate prediction of true trematode richness. Here we review the current state of knowledge of the fauna and the ways in which our understanding of this fascinating group is changing. Our best estimate of the true richness is now a range, 1,100–1,800 species. However there remains considerable scope for even these figures to be incorrect given that fewer than one-third of the fish species of the region have been examined for trematodes. Our goal is a comprehensive characterisation of this fauna, and we outline what work needs to be done to achieve this and discuss whether this goal is practically achievable or philosophically justifiable.","Cribb, T.H.; Bott, N.J.; Bray, R.A.; McNamara, M.K.A.; Miller, T.L.; Nolan, M.J.; Cutmore, S.C.",WOS:000344438500010,"Bott, Nathan, N.J.","RMIT Univ, Sch Appl Sci, Bundoora, Vic 3083, Australia.",https://hdl.handle.net/10.1016/j.ijpara.2014.08.002,,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""",,Trematoda,,,Trematoda; Richness; Diversity; Great Barrier Reef; Host-specificity; Cryptic species,Journal article,,,"Univ Queensland, Sch Biol Sci, Brisbane, Qld 4072, Australia.",Australia,Trematoda; Richness; Diversity; Great Barrier Reef; Host-specificity; Cryptic species,HOST-SPECIFICITY; N. SP; CHAETODONTID FISHES; MARINE FISHES; PLATYHELMINTHES DIGENEA; HAEMULIDAE PERCIFORMES; LEPOCREADIIDAE DIGENEA; PEARSONELLUM-CORVENTUM; PARASITE BIODIVERSITY; LEPOTREMA OZAKI,Parasitology,Parasitology,,,,,,
3,287760,2012,AS,State of the art of the marine non-indigenous flora and fauna in Slovenia,"<b>Lipej, L.; Mavric, B.; Orlando Bonaca, M.; Malej, A.</b> (2012). State of the art of the marine non-indigenous flora and fauna in Slovenia. <i>Mediterr. Mar. Sci. 13(2)</i>: 243-249. <a href=""https://hdl.handle.net/10.12681/mms.304"" target=""_blank"">https://hdl.handle.net/10.12681/mms.304</a>","Authors provide the state of knowledge on marine non-indigenous species in waters off Slovenia. According to published records and authors unpublished data at least 15 non-indigenous species were up to date recorded in the Slovenian part of the Adriatic sea. Eleven species were considered as established and four species as casual. The vectors of introduction are various, comprising Lessepsian migration, mariculture and shipping. The majority of non-indigenous taxa were recorded in the mediolittoral belt and coastal lagoons. The low number of non-indigenous species so far recorded in the Slovenian part of the Adriatic sea could be explained by various factors. Among them, the most reasonable are the lack of scientific attention, the small proportion of Slovenian Sea and low winter temperatures, which represents a physiological barrier for the survival of newcomers. The number of recorded species is far from being satisfactory. Therefore, we expect that the list of non-indigenous species will be enlarged in the nearby future.","Lipej, L.; Mavric, B.; Orlando Bonaca, M.; Malej, A.",WOS:000315934300009,"Malej, A.",,https://hdl.handle.net/10.12681/mms.304,,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""",,,,,"Non-indigenous species, Mediterranean Sea, Slovenia, bioinvasion.",Journal article,,,"Natl Inst Biol, Marine Biol Stn, Piran, Slovenia.",Slovenia,Non-indigenous species; Mediterranean Sea; Slovenia; bioinvasion,MEDITERRANEAN SEA; ADRIATIC SEA; INDO-PACIFIC; TRIESTE; RECORDS; OPISTHOBRANCHIA; MOLLUSCA; AREAS; FISH,"Fisheries; Geosciences, Multidisciplinary; Marine & Freshwater Biology; Oceanography",Fisheries; Geology; Marine & Freshwater Biology; Oceanography,National Institute of Biology (NIB) - Marine Biology Station,x,Slovenia,,Research institute,Science
4,287761,2013,AS,More taxonomists describing significantly fewer species per unit effort may indicate that most species have been discovered,"<b>Costello, M.J.; Wilson, S.; Houlding, B.</b> (2013). More taxonomists describing significantly fewer species per unit effort may indicate that most species have been discovered. <i>Syst. Biol. 62(4)</i>: 616-624. <a href=""https://hdl.handle.net/10.1093/sysbio/syt024"" target=""_blank"">https://hdl.handle.net/10.1093/sysbio/syt024</a>",,"Costello, M.J.; Wilson, S.; Houlding, B.",WOS:000320402300009,"Costello, Mark, M.J.","Univ Auckland, Inst Marine Sci, Warkworth 0941, New Zealand.",https://hdl.handle.net/10.1093/sysbio/syt024,,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""",,,,,,Journal article,,,"Univ Auckland, Inst Marine Sci, POB 349, Warkworth 0941, New Zealand.",New Zealand,,TRENDS; RATES,Evolutionary Biology,Evolutionary Biology,University of Auckland - Institute of Marine Science,,New Zealand,,Research institute,Science
5,287763,2012,AS,Do microbes have macroecology? Large-scale patterns in the diversity and distribution of marine benthic ciliates,"<b>Azovsky, A.; Mazei, Y.</b> (2012). Do microbes have macroecology? Large-scale patterns in the diversity and distribution of marine benthic ciliates. <i>Glob. Ecol. Biogeogr. 22(2)</i>: 163-172. <a href=""https://hdl.handle.net/10.1111/j.1466-8238.2012.00776.x"" target=""_blank"">https://hdl.handle.net/10.1111/j.1466-8238.2012.00776.x</a>","The biogeography and global distribution of protists has long been disputed, with two primary, opposing views. To test these two sets of views in greater detail, we have compiled the available data for marine benthic ciliates and assessed the general patterns of their diversity and distribution compared with Metazoa. A comprehensive database (1342 species, over 350 sources) was used to analyse the diversity, distribution, species occurrences and range size distribution of free-living ciliates that inhabit marine sediments in 17 geographical regions. Twenty-five per cent of the species have been found in a single region only, whereas 18% are widespread (they occur in more than half the regions covering both hemispheres). Only 5–7% of regional faunas are endemic, which is much lower than for macroorganisms. Regional diversity depends neither on total area nor on coastline length and does not show any obvious latitudinal trends, but correlates highly with the investigation effort expended in a region and (negatively) with the average salinity. A comparison of species composition reveals distinctions between the Arctic Area (the White, Barents and Kara seas), Laurasian Area (north Atlantic, north Pacific and European seas), Gondwanian Area (Southern Ocean) and the Antarctic. No clear geographical correlations are found for faunistic composition at the genus or family levels. There is the tendency to narrow the latitudinal ranges for species found at high latitudes (reversal of Rapoport's rule). Undersampling and data insufficiency are the key factors affecting the observed diversity and distribution of microorganisms. Nevertheless, marine benthic ciliates demonstrate certain patterns that generally agree with the ‘moderate endemicity’ model (Foissner, 2004, 2008), but consistently contradict the regularities commonly observed for multicellular taxa. Thus, ciliates do have a biogeography, but their macroecological patterns may be different in some respects from that of macroorganisms.","Azovsky, A.; Mazei, Y.",WOS:000313267000002,"Azovsky, Andrey, A.","Moscow MV Lomonosov State Univ, Dept Hydrobiol, Moscow 119899, Russia.",https://hdl.handle.net/10.1111/j.1466-8238.2012.00776.x,,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""",,,,,Ciliates; distribution; diversity; latitudinal gradients; marine; Rapoport's rule,Journal article,,,"Moscow MV Lomonosov State Univ, Dept Hydrobiol, Moscow 119899, Russia.",Russia,Ciliates; distribution; diversity; latitudinal gradients; marine; Rapoport's rule,BIOGEOGRAPHY; BIODIVERSITY; COSMOPOLITANISM; ECOSYSTEMS; DISPERSAL; STRENGTH; ENDEMISM; PROTOZOA; OCEAN; WORLD,"Ecology; Geography, Physical",Environmental Sciences & Ecology; Physical Geography,Lomonosov Moscow State University,,Russia,,University,Science
6,287764,2013,AS,Biogeography and biodiscovery hotspots of macroalgal marine natural products,"<b>Leal, M.C.; Munro, M.H.G.; Blunt, J.W.; Puga, J.; Jesus, B.; Calado, R.; Rosa, R.; Madeira, C.</b> (2013). Biogeography and biodiscovery hotspots of macroalgal marine natural products. <i>Nat. Prod. Rep. 30(11)</i>: 1380. <a href=""https://hdl.handle.net/10.1039/c3np70057g"" target=""_blank"">https://hdl.handle.net/10.1039/c3np70057g</a>","Coverage period: 1965 to 2012. This review covers the literature published for marine natural products isolated from macroalgae and addresses the taxonomic details of source organisms, the chemical types of isolated compounds and the location of sampling sites. The emphasis of this review is on the identification of the most bioprospected taxa and regions, as well as on how these trends have shifted over time.","Leal, M.C.; Munro, M.H.G.; Blunt, J.W.; Puga, J.; Jesus, B.; Calado, R.; Rosa, R.; Madeira, C.",WOS:000325764200002,"Leal, Miguel C., M.C.","Univ Aveiro, Dept Biol, P-3810193 Aveiro, Portugal.",https://hdl.handle.net/10.1039/c3np70057g,,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""",,,,,,Journal article,,,"Univ Aveiro, Dept Biol, Campus Univ Santiago, P-3810193 Aveiro, Portugal.",Portugal,,CHEMICAL ECOLOGY; ALGAE; DIVERSITY; CHEMISTRY; METABOLITES; PATTERNS; COASTAL; OCEAN,"Biochemistry & Molecular Biology; Chemistry, Medicinal; Chemistry, Organic",Biochemistry & Molecular Biology; Pharmacology & Pharmacy; Chemistry,University of Aveiro,,Portugal,,University,Science
7,287765,2012,AS,A new species of the genus <i>Rhopalaea</i> (Class: Ascidiacea) from the Red Sea,"<b>Shenkar, N.</b> (2012). A new species of the genus <i>Rhopalaea</i> (Class: Ascidiacea) from the Red Sea. <i>Zootaxa 3599(1)</i>. <a href=""https://hdl.handle.net/10.11646/zootaxa.3599.1.4"" target=""_blank"">https://hdl.handle.net/10.11646/zootaxa.3599.1.4</a>","During regular surveys and collection of ascidians along the Red Sea coast of Israel, several specimens of an undescribed species of <i>Rhopalaea</i> were collected. Samples were collected by SCUBA from the natural coral reef and man-made structures at depths between 10 to 40m. This is the first species of the genus <i>Rhopalaea</i> described from the Red Sea, which is characterized by a transparent, uncolored gelatinous tunic with elongated attachment extensions, and is distinguished by its eight atrial lobes, thoracic muscle arrangement, and branchial sac structure.","Shenkar, N.",WOS:000312930400004,"Shenkar, Noa, N.",,https://hdl.handle.net/10.11646/zootaxa.3599.1.4,,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""",,Ascidiacea,,,Ascidians; Red Sea; Gulf of Aqaba; Elat; Coral reef,Journal article,,,"Tel Aviv Univ, George S Wise Fac Life Sci, Dept Zool, IL-69978 Tel Aviv, Israel.",Israel,Ascidians; Red Sea; Gulf of Aqaba; Elat; Coral reef,WESTERN PACIFIC; DIVERSITY; TUNICATA; WATERS; PANAMA,Zoology,Zoology,Tel Aviv University - George S. Wise Faculty of Life Sciences - School of Zoology,x,Israel,,University,Science
8,287768,2013,AS,Contribution of the Leigh Marine Laboratory to knowledge of marine species diversity,"<b>Gordon, D.P.</b> (2013). Contribution of the Leigh Marine Laboratory to knowledge of marine species diversity. <i>N.Z. J. Mar. Freshwat. Res. 47(3)</i>: 277-293. <a href=""https://hdl.handle.net/10.1080/00288330.2013.810159"" target=""_blank"">https://hdl.handle.net/10.1080/00288330.2013.810159</a>","We review the contribution of the Leigh Marine Laboratory, as an extension of the University of Auckland campus, to knowledge of marine taxonomic diversity, particularly in New Zealand. Increase in knowledge of the marine biota of the Hauraki Gulf region (and beyond) in the 1960s–2010s was achieved through targeted taxonomic studies and indirectly in the course of other research and fieldwork by staff, students and visitors. The Cape Rodney to Okakari Point Marine Reserve is the type locality for 46 species and the area including Leigh harbour, Matheson Bay and Whangateau Harbour includes the type localities for 21 additional species. Altogether, University of Auckland staff and their students, throughout their professional careers, have described 570 new species of New Zealand marine life, c. 3.2% of the known marine biota of the exclusive economic zone. The laboratory has had an immeasurable influence as a training ground for field work and experimentation and from decades of oral instruction, published books, monographs and papers, and the examples and inspiration of the key personalities. Current informatics activities at the laboratory, facilitating syntheses of biodiversity data in a global context, continue that legacy","Gordon, D.P.",WOS:000323144400002,"Gordon, Dennis, D.P.","Natl Inst Water & Atmospher Res NIWA, Wellington, New Zealand.",https://hdl.handle.net/10.1080/00288330.2013.810159,,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""",,,,,"Leigh Marine Laboratory, New Zealand, University of Auckland, biodiversity, bioinformatics, Valentine Chapman, John Morton",Journal article,,,"Natl Inst Water & Atmospher Res NIWA, Wellington, New Zealand.",New Zealand,Leigh Marine Laboratory; New Zealand; University of Auckland; biodiversity; bioinformatics; Valentine Chapman; John Morton,SP-NOV RHODOPHYTA; NEW-ZEALAND; N-SP; DEMOSPONGIAE; PORIFERA; ACARI; GENUS; OPISTHOBRANCHIA; DICTYOCERATIDA; HALACARIDAE,Fisheries; Marine & Freshwater Biology; Oceanography,Fisheries; Marine & Freshwater Biology; Oceanography,National Institute of Water and Atmospheric Research (NIWA),,New Zealand,,Research institute,Science
9,287769,2016,AS,Identification of North Sea molluscs with DNA barcoding,"<b>Barco, A.; Raupach, M.J.; Laakmann, S.; Neumann, H.; Knebelsberger, T.</b> (2016). Identification of North Sea molluscs with DNA barcoding. <i>Mol. Ecol. Resour. 16(1)</i>: 288-297. <a href=""https://hdl.handle.net/10.1111/1755-0998.12440"" target=""_blank"">https://hdl.handle.net/10.1111/1755-0998.12440</a>","Sequence-based specimen identification, known as DNA barcoding, is a common method complementing traditional morphology-based taxonomic assignments. The fundamental resource in DNA barcoding is the availability of a taxonomically reliable sequence database to use as a reference for sequence comparisons. Here, we provide a reference library including 579 sequences of the mitochondrial cytochrome <i>c oxidase</i> subunit I for 113 North Sea mollusc species. We tested the efficacy of this library by simulating a sequence-based specimen identification scenario using Best Match, Best Close Match (BCM) and All Species Barcode (ASB) criteria with three different threshold values. Each identification result was compared with our prior morphology-based taxonomic assignments. Our simulation resulted in 87.7% congruent identifications (93.8% when excluding singletons). The highest number of congruent identifications was obtained with BCM and ASB and a 0.05 threshold. We also compared identifications with genetic clustering (Barcode Index Numbers, BINs) computed by the Barcode of Life Datasystem (BOLD). About 68% of our morphological identifications were congruent with BINs created by BOLD. Forty-nine sequences were clustered in 16 discordant BINs, and these were divided in two classes: sequences from different species clustered in a single BIN and conspecific sequences divided in more BINs. Whereas former incongruences were probably caused by BOLD entries in need of a taxonomic update, the latter incongruences regarded taxa requiring further investigations. These include species with amphi-Atlantic distribution, whose genetic structure should be evaluated over their entire range to produce a reliable sequence-based identification system.","Barco, A.; Raupach, M.J.; Laakmann, S.; Neumann, H.; Knebelsberger, T.",WOS:000369141000028,"Knebelsberger, Thomas, T.","German Ctr Marine Biodivers Res DZMB, Sudstrand 44, D-26382 Wilhelmshaven, Germany.",https://hdl.handle.net/10.1111/1755-0998.12440,,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""",,Mollusca,,,DNA barcoding; molluscs; North Sea; specimens identification,Journal article,,,"German Ctr Marine Biodivers Res DZMB, Sudstrand 44, D-26382 Wilhelmshaven, Germany.",Germany,DNA barcoding; molluscs; North Sea; specimens identification,OXIDASE SUBUNIT-I; SPECIES DELIMITATION; MITOCHONDRIAL-DNA; SCALE; GASTROPODA; PRIMERS; POLYSACCHARIDES; AMPLIFICATION; SPECIATION; MAGNITUDE,Biochemistry & Molecular Biology; Ecology; Evolutionary Biology,Biochemistry & Molecular Biology; Environmental Sciences & Ecology; Evolutionary Biology,,,,,,
