LifeWatch_inkind,Institute,citation_format
Ruben Perez Perez,VLIZ,"Perez Perez, R."
Eric Stienen,INBO,"Stienen, E."
Johan Coeck,INBO,"Coeck, J."
Nico De Maerteleire,INBO,"De Maerteleire, N."
Sebastien Pieters,INBO,"Pieters, S."
Niko Boone,INBO,"Boone, N."
Jim Casaer,INBO,"Casaer, J."
Axel Neukermans,INBO,"Neukermans, A."
Anouk Ollevier,VLIZ,"Ollevier, A."
Clea Parcerisas,VLIZ,"Parcerisas, C."
Geert Spanoghe ,INBO,"Spanoghe, G."
Anny Anselin,INBO,"Anselin, A."
Pieterjan Verhelst,INBO,"Verhelst, P"
Gunther Van Ryckegem,INBO,"Van Ryckegem, G."
Joost Vanoverbeke ,INBO,"Vanoverbeke, J."
