Surname,Firstname,Affiliatie ,Country,Datum
####,####,Galway-Mayo Institute of Technology - Marine and Freshwater Research Centre ,Ireland,19-Sep-13
####,####,"Hellenic Center for Marine Research - Institute of Marine Biology, Biotechnology and Aquaculture",Greece,6/27/2014
####,####,Sir Alister Hardy Foundation for Ocean Science,United Kingdom,7/8/2014
####,####,AMEC Environment & Infrastructure ,United Kingdom,8/20/2014
####,####,Bedford Institute of Oceanography ,Canada,1/21/2015
####,####,Bedford Institute of Oceanography ,Canada,2/26/2015
####,####,Bedford Institute of Oceanography ,Canada,3/14/2015
####,####,Bedford Institute of Oceanography ,Canada,4/8/2015
####,####,?,Canada,3/29/2016
####,####,? Rescue team of amphibian crossings in Auderghem,Belgium,4/11/2016
####,####,Université de Namur,Belgium,5/24/2016
####,####,Bedford Institute of Oceanography ,Canada,9/21/2016
####,####,DNV GL,Norway,12/16/2016
####,####,Bedford Institute of Oceanography ,Canada,1/23/2017
####,####,Walloon Agricultural Research Center,Belgium,2/2/2017
####,####,Antarctic Biodiversity Information System (AntaBIS),Belgium,2/7/2017
####,####,UNESCO / IOC Project Office for IODE,Belgium,9/20/2017
####,####,Bedford Institute of Oceanography ,Canada,10/28/2017
####,####,Bedford Institute of Oceanography ,Canada,10/29/2017
####,####,Instituto Nazionale di Oceanografia e di Geofisica Sperimentale,Italy,12/11/2017
####,####,Instituto Nazionale di Oceanografia e di Geofisica Sperimentale,Italy,12/12/2017
####,####,MARUM - Center for Marine Environmental Sciences ,Germany,12/14/2017
####,####,Instituto Nazionale di Oceanografia e di Geofisica Sperimentale,Italy,12/13/2017
####,####,Royal Belgian Institute of Natural Sciences,Belgium,7/6/2017
####,####,Universiteit Gent,Belgium,9/11/2017
####,####,Université Libre de Bruxelles - Laboratoire d'Ecologie des systèmes aquatiques ,Belgium,9/11/2017
####,####,Sioen,Belgium,10/2/2017
####,####,Royal Belgian Institute of Natural Sciences,Belgium,1/24/2018
####,####,?,Belgium,3/30/2018
####,####,Marine Biology Research Group - Gent university,Belgium,10/4/2018
####,####,VITO,Belgium,4/26/2018
####,####,Biotope environment ,Belgium,5/3/2018
####,####,PERSUADE project - Universiteit Gent,Belgium,7/6/2018
####,####,Vlaamse Milieumaatschappij,Belgium,8/10/2018
####,####,"Instituut voor Landbouw-, Visserij- en Voedingsonderzoek",Belgium,8/16/2018
####,####,Université Libre de Bruxelles,Belgium,8/16/2018
####,####,Belgische marine te Zeebrugge - Defensie,Belgium,10/3/2018
####,####,?,Belgium,10/31/2018
####,####,Intercommunale Kustreddingsdienst West-Vlaanderen (IKWV),Belgium,12/4/2018
####,####,?,Belgium,1/16/2019
####,####,"Instituut voor Landbouw-, Visserij- en Voedingsonderzoek",Belgium,8/16/2018
####,####,Antwerp Maritime Academy,Belgium,2/6/2019
####,####,Sirris,Belgium,2/11/2019
####,####,"Instituut voor Landbouw-, Visserij- en Voedingsonderzoek",Belgium,4/16/2019
####,####,Hogere Zeevaartschool Antwerpen,Belgium,5/13/2019
####,####,Brevisco BVBA,Belgium,5/16/2019
####,####,Jan De Nul,Belgium,6/11/2019
####,####,Water Management and Technology - VITO,Belgium,6/11/2019
####,####,Vlaams Kenniscentrum Water (Vlakwa),Belgium,6/11/2018
####,####,Aquacultuur Oostende ,Belgium,6/21/2019
####,####,Universiteit Gent,Belgium,8/29/2019
####,####,Universiteit Gent,Belgium,9/19/2019
####,####,Defensie,Belgium,9/26/2019
####,####,Universiteit Gent,Belgium,11/18/2019
####,####,EDF Renewables ,Belgium,11/22/2019
####,####,University of the Philippines Los Baños,Philippines,13-Jul-21
####,####,Ugent - GhEnToxLab,Belgium,11-Aug-21
####,####,personal use,Belgium, 24 March 2020
####,####,VLIZ,Belgium,11/28/2019
####,####,BOSAQ,Belgium,6-Nov-20
####,####,sirris,Belgium,11/2/2019
####,####,Defensie,Belgium,25-Sep-19
####,####,Vlakwa - Vlaams Kenniscentrum Water,Belgium,6/7/2019
####,####,ugent,Belgium,9/19/2019
####,####,Hogere Zeevaartschool Antwerpen,Belgium,11-May-19
####,####,Laboratoire d'Ecologie des systèmes aquatiques (ULB) - Unité d'Océanographie chimique (ULiège),Belgium,16-Jan-19
####,####,EDF Renewables,Belgium,20-Nov-19
####,####,personal use,Belgium,21 juni 2019
####,####,De Blauwe Cluster VZW,Belgium,14-Jan-20
####,####,personal use,Netherlands,11/23/2020
####,####,Brevisco BVBA,Belgium,5/15/2019
####,####,DEME Offshore,Belgium,1/19/2021
####,####,UGent,Belgium,11/18/2019
####,####,ILVO,Belgium,1/15/2020
####,####,personal use,Belgium,1/16/2019
####,####,Jan De Nul NV,Belgium,7-Jun-19
####,####,seamatters limited,Belgium,30-Mar-20
####,####,JERICO,Europe,8/18/2020
####,####,VLIZ,Belgium,11/22/2019
####,####,VLIZ,Belgium,12/10/2019
####,####,Laboratory of Biodiversity and Evolutionary Genomics - KU Leuven,Belgium,07 May 2020 
####,####,UGent,Belgium,21-Feb-20
####,####,Global Ocean Observing System (GOOS) - UNESCO,Belgium,7-Dec-20
####,####,ZAVO - Zorgzaam Authentiek Vooruitstrevend Onderwijs,,21-Nov-20
####,####,milieuwetenschappen - Universiteit Antwerpen,Belgium,6-May-20
####,####,Water Management and Technology - VITO NV,Belgium,6/11/2019
####,####,high school student,Belgium, 24 March 2020
####,####,ILVO,Belgium,1/17/2019
####,####,naturalsciences,Belgium,5/25/2020
####,####,ILVO,Belgium,16-Apr-19
